217 3
34 21 22
-33 -5 -39
-12 -14 -46
5 31 23
-25 -43 5
-49 44 47
49 3 -29
-41 -4 -21
-29 20 44
48 -19 -31
-3 44 -16
-38 7 -32
-18 -31 14
48 17 2
-17 45 46
24 8 -34
-25 -50 39
25 -18 -24
11 36 47
32 17 38
19 -6 22
40 48 21
-20 -40 -8
27 -5 21
33 -7 46
1 35 -23
3 -22 38
-41 17 -40
-33 25 38
-23 46 -32
-33 13 -24
-46 47 31
-42 9 -50
-35 -28 7
32 42 -8
32 44 -8
-25 -19 43
-27 -20 -21
-20 21 -47
-42 -27 39
48 26 -32
26 -20 -8
3 11 -23
-1 34 14
17 34 38
49 34 -36
-33 -37 14
2 -44 23
34 -12 -22
-21 37 23
-26 1 -19
-20 -39 -7
-34 -28 -38
49 -2 12
48 -10 -21
-43 -28 -22
41 5 -30
32 -50 -44
-30 29 22
-9 35 15
-34 44 21
49 -14 21
9 38 -48
36 -24 -48
-35 -45 46
18 -29 -8
32 18 21
17 -44 30
-34 4 39
-42 37 46
-37 -47 -24
-19 34 12
-35 -29 -46
40 37 -23
-49 -44 45
32 26 20
19 -39 -23
-35 -30 -24
-50 -28 -7
-15 -40 -24
40 9 -29
-49 -27 21
-33 -28 35
-34 27 -36
33 26 -47
34 -28 -5
-17 9 -44
8 19 31
-33 19 5
32 6 15
-9 -1 -32
-11 37 30
-17 -36 -8
25 11 44
8 -26 -16
-17 -18 31
8 -47 -7
25 37 47
8 -43 -32
-4 12 20
-11 30 14
27 -39 -8
20 -45 13
45 22 -15
-1 -27 2
-49 45 37
8 2 21
9 44 38
8 -6 31
-50 47 -48
-2 -11 29
-18 1 11
33 -19 -44
-9 8 -23
-4 -20 44
49 -28 13
-12 44 -16
27 -46 -40
-5 -46 -6
-41 -47 -16
-27 44 -31
1 -42 18
25 -28 -48
26 -20 -44
-50 17 37
-34 -14 -15
16 -3 22
-10 28 -47
26 -43 -47
-34 -35 -12
16 9 -23
-19 -4 -29
-11 -21 -22
-42 5 -16
4 29 -48
43 -45 -40
1 -27 26
43 11 -30
-41 -27 -30
-41 2 4
41 -12 -31
-41 17 46
-49 -11 -14
18 -44 -5
-2 11 -21
40 -2 -34
-36 20 -22
-37 -13 -23
-1 6 7
-12 35 -47
2 12 13
24 44 -16
-17 -50 -5
-26 21 23
-1 6 15
50 -13 -39
2 20 12
17 -28 31
18 47 -48
-35 26 12
-19 -14 31
16 -3 -22
-26 43 -12
48 25 -24
48 20 6
-9 22 7
17 39 -32
-19 3 37
25 49 26
-42 -3 22
44 45 -15
27 -30 -47
33 -38 21
13 -30 -39
49 -34 -21
26 -8 31
26 -37 23
40 -6 30
40 11 15
-45 -46 30
16 26 -5
48 -42 12
-49 -33 -23
-1 8 21
-25 14 -24
-9 43 -36
-3 26 4
-17 3 -30
-41 -44 12
3 -28 23
-9 -48 -32
42 -35 -24
40 -6 -8
-17 16 -40
-26 -27 -22
-41 -19 11
-4 -29 -14
-1 21 -6
33 -42 11
-33 9 -3
-25 26 44
33 44 -39
-17 -7 -40
35 36 -38
-19 38 -32
8 3 -29
-28 11 5
24 27 46
50 -5 -8
-26 -27 20
40 -50 10
24 -35 -48
-27 -28 -7
-3 15 -24
-45 -13 37
-11 30 23
-28 -37 -22
