217 3
8 -10 -7
-33 -42 -38
-41 28 31
18 -21 -13
-11 -12 -45
48 26 23
-50 29 -7
16 -46 -15
50 -43 23
9 21 6
25 1 -6
-28 21 6
-10 42 44
-27 -35 46
9 -22 -14
-49 8 -38
41 12 -32
-36 5 -48
-17 -38 46
-42 -21 -23
-36 28 4
26 -12 -21
32 -41 -23
-20 45 6
-10 33 27
40 4 -5
42 -5 37
26 -3 -31
10 2 -45
-17 14 -24
20 -5 -32
44 46 39
-41 12 -40
25 27 21
-36 -20 -29
-10 18 12
-34 43 6
26 -3 27
18 -22 -40
8 -3 -47
-26 36 29
-49 41 45
18 5 -30
20 -37 -39
48 -18 12
40 25 -28
28 22 30
18 -44 38
24 -41 8
41 28 -39
42 -32 -24
28 38 22
-27 5 -30
-13 23 7
-17 -1 28
41 -22 38
-42 -27 2
-36 21 -32
-36 -12 -31
18 28 21
17 -44 37
25 49 -48
50 -35 -45
49 -26 -3
-1 10 -37
-36 5 -38
19 -40 -24
-25 -17 42
3 39 7
18 37 -16
-35 2 -30
11 13 -39
48 -11 28
-17 -29 -23
-3 -7 -48
-35 10 -37
24 -39 -23
-14 47 39
-27 -3 21
-36 -21 -46
26 -39 31
-3 -45 39
-30 -40 -48
-13 -37 -38
25 -5 -46
-26 22 -32
-42 -30 23
10 -13 15
32 21 29
-18 -44 27
-33 49 -13
-4 12 23
-18 -50 -29
24 10 -5
25 -27 -32
-34 30 -15
10 -35 -36
-44 30 47
40 -26 -16
-17 -43 29
40 -11 -48
-9 25 -31
22 -48 39
-34 19 -15
-5 -37 31
1 -34 -31
-49 -29 12
5 31 -16
-41 50 19
-25 26 20
-17 -19 20
25 9 -38
42 -36 29
9 38 23
-26 13 -31
-1 -11 36
-12 22 14
41 4 -32
41 19 7
16 10 -6
-9 35 20
-50 28 -16
-28 11 -48
1 50 7
-42 12 -16
49 28 -5
24 17 -19
18 -4 -44
4 -38 -8
-17 1 -11
35 -36 28
9 -4 -44
-34 -31 -32
17 19 5
3 19 13
-17 21 47
-49 20 -48
35 6 47
-44 20 -38
-2 -21 6
-13 5 -40
36 4 15
-3 35 -5
26 -37 -8
41 -35 12
-10 4 21
-2 -3 -22
8 -14 -32
-33 -49 38
3 30 39
33 43 -28
-27 3 13
27 44 -31
34 -8 -24
-17 43 39
49 3 -39
2 21 -48
20 45 6
24 10 -44
37 -46 22
34 26 28
-41 -34 37
-25 -45 13
-25 -9 32
10 18 -24
-29 -5 -39
49 -6 -7
17 27 30
-27 -12 6
17 -4 45
18 -12 27
3 43 15
48 -10 5
-41 31 39
-34 12 44
17 2 -12
1 -29 5
40 -41 -19
34 -43 -23
2 -47 31
-3 -23 7
-49 -18 10
-25 -44 29
16 -41 -35
-44 -4 -24
18 -47 39
-10 -18 36
41 -43 26
36 -38 46
17 -5 21
-43 3 -39
-42 -44 31
20 44 13
-42 -20 -15
25 -43 -40
48 -34 27
-35 45 -8
32 -30 47
-1 -6 23
-3 26 -7
24 -12 20
8 -18 19
-50 -22 31
25 36 29
24 17 -39
24 -50 -22
-22 14 -16
-42 -44 -8
26 7 39
3 -21 13
-17 25 -31
-39 -32 -16
42 5 22
-29 -37 14
-27 -44 20
-50 29 -23
-31 46 15
