217 3
-17 -47 30
-43 -15 -24
32 43 -47
-42 28 -7
-35 5 -48
-20 5 37
49 -42 -8
13 -8 39
-17 32 28
-3 10 -32
-36 -40 15
4 5 30
34 5 7
49 47 -32
32 -17 12
-42 30 -8
42 37 39
-2 29 -24
-28 -44 5
-4 31 -48
1 -13 -30
34 -29 21
-1 3 -16
-42 -43 -20
33 12 22
-2 -31 7
16 -1 -24
-34 2 -8
32 25 33
2 35 -6
18 2 45
-41 4 -39
38 30 -39
3 -44 46
-1 21 -16
33 -21 5
-12 43 23
-2 11 21
-42 -7 -8
-28 46 7
-49 -22 -16
33 30 -47
11 36 -40
-11 28 -7
-9 35 -20
2 42 -36
-35 28 21
-9 20 14
35 20 23
-35 -29 39
-49 10 -7
2 43 -44
32 24 -4
-34 -3 -38
-27 11 15
-19 -6 23
8 -20 43
-10 -4 22
32 -19 27
9 18 28
-33 5 -8
42 -30 21
-27 29 -22
-43 -29 22
8 -37 -39
-42 -11 36
-41 2 -8
1 13 -8
41 33 34
16 -25 17
19 -7 39
42 -24 -48
-20 35 -38
9 35 44
-30 6 23
-35 2 46
-13 45 7
25 -37 15
18 31 -16
-20 -46 30
-33 -26 10
41 -27 -21
5 -40 -48
-1 -3 -19
11 12 -47
24 -27 -20
-1 -18 5
25 -13 -8
43 -14 39
-26 -2 46
48 30 6
2 30 6
-25 -38 -39
42 37 -7
-17 -26 12
41 -30 7
33 19 -8
16 18 42
33 34 7
-4 -28 5
2 20 7
-49 48 21
-49 5 30
40 -6 7
32 35 36
48 10 -38
-41 -28 12
-34 26 -31
32 -2 47
-19 34 -36
10 -38 31
16 -35 -36
35 -4 12
-28 45 29
42 22 -40
-46 -23 30
17 -3 15
-34 -12 -14
-17 -39 -24
10 11 -30
-49 3 46
-2 41 -3
-26 19 -15
19 3 11
-25 11 -47
-20 13 47
5 -24 47
22 -39 7
25 10 44
-12 37 -48
-17 -10 -43
-49 25 -50
19 -15 -8
34 4 -48
-19 29 -16
-44 -22 -48
-25 41 21
19 -36 -21
-41 -3 -14
-18 19 39
-21 13 38
10 11 -37
16 -29 14
-10 50 35
-33 17 44
36 46 -48
3 20 13
49 19 -40
35 36 14
33 -23 -7
-41 17 42
-10 49 -46
2 -19 10
-2 43 19
16 -45 -7
43 -29 -31
33 -42 15
-41 31 -16
17 25 35
25 -26 -46
-43 -35 -21
-10 4 14
-18 -12 6
36 21 -47
-25 -12 -46
-49 32 17
-22 45 46
34 -22 29
9 -19 3
10 -43 -46
-35 20 -21
-49 -17 37
-18 21 37
-34 13 47
8 -37 13
-42 -2 6
17 -20 -15
-41 -33 -10
-49 -18 39
25 18 -12
-42 -35 -20
48 -50 -4
25 27 35
3 -47 15
17 -40 -16
-4 12 -7
-25 27 -8
-41 -2 29
-10 28 6
-9 -13 -47
33 -21 37
-20 -14 22
2 22 -39
-27 -37 21
-9 -10 -3
50 -45 5
-17 -30 -47
17 -43 -23
-42 -44 28
44 -21 -16
9 -27 6
-46 -30 39
1 34 -21
8 -18 10
3 -29 -14
-3 35 -15
-9 42 44
-18 36 -48
-1 -20 -24
29 37 38
-25 33 -23
-17 50 -30
-42 45 -23
-18 26 -8
33 35 -14
43 -23 31
-7 38 31
