217 3
-46 21 -15
-49 -4 -37
26 -3 -48
-41 44 -39
-19 37 -24
-33 -19 -21
-33 43 -46
28 44 37
1 12 -46
-2 33 26
16 -12 -21
49 -4 5
-18 5 -31
-43 36 6
-10 -6 31
-9 -50 47
49 18 2
40 45 29
-9 -10 -35
40 4 6
26 -44 20
49 -36 19
-5 37 -48
33 -38 -48
-19 36 -7
49 34 -23
16 -49 -40
48 -35 -46
42 27 14
-25 32 -28
11 20 -40
42 18 -23
-25 -20 -29
27 -37 -39
32 -41 -49
20 -6 38
8 -20 44
-25 -1 9
-1 41 -37
40 17 -24
41 28 22
-14 46 -23
20 -31 30
32 20 -23
2 -23 -48
35 -6 5
24 -50 -28
33 -36 38
-37 -23 -47
12 -40 -24
34 47 -8
-35 36 -45
50 18 -24
16 42 -36
50 37 -31
-9 -25 -30
-35 -20 -30
26 45 -47
16 39 7
-14 46 -24
-9 32 17
-9 -44 -16
8 49 18
32 -1 -26
-49 -2 -10
-42 3 35
9 25 3
24 17 21
-42 -30 23
25 19 31
-5 -38 7
-13 -39 -23
-12 28 46
1 18 6
-17 -19 -7
-33 18 -43
41 -3 -36
32 49 -43
-1 -19 15
-49 24 -29
-34 -20 -44
16 -43 28
48 26 11
-33 4 5
19 -46 -23
-19 -44 20
32 -28 30
33 5 31
-35 -36 -7
-18 -35 39
-41 -4 -47
-38 5 -23
-12 36 13
-20 -36 37
43 -45 -22
32 -3 -20
37 21 -32
12 13 23
1 -18 42
-18 -43 -48
27 12 -21
33 22 39
41 -43 -47
17 5 -40
-1 -11 45
-1 -43 5
-3 -28 -32
-42 -4 -47
50 -13 -40
-25 -19 -47
-1 34 20
-41 18 46
24 -46 -8
-21 -6 -30
-4 -5 22
-35 45 30
35 -44 12
32 -44 -21
-33 10 -31
23 -8 31
25 11 -14
1 25 27
48 50 -28
-12 44 -31
41 -12 -31
-5 36 -30
40 42 -46
-42 44 15
-18 -21 -13
-3 -27 -39
34 -3 -13
50 28 -30
10 13 -7
25 43 -45
-26 28 4
-17 -11 38
-33 -49 48
11 -20 -30
49 -34 47
25 -2 20
-25 49 -45
41 45 -32
-18 43 -13
17 43 13
29 -22 30
32 49 -4
-26 2 -11
1 -27 -13
27 -31 47
25 -24 39
20 -13 15
-41 32 49
-50 -18 7
-50 37 14
-33 -12 -16
-3 19 20
9 -31 -40
-25 -34 -42
42 22 15
46 -48 -32
-35 43 11
-29 13 -47
-19 43 -14
-1 34 23
-17 -33 5
-10 -45 -47
-28 -46 37
-26 36 -45
33 19 5
32 17 27
40 -26 22
25 -14 -31
11 44 -7
1 12 -40
34 28 -7
1 -6 -8
16 43 -21
8 -9 23
-49 -33 -21
48 33 28
-20 -14 21
-50 -37 30
1 -30 -47
-2 42 22
-35 42 -7
-9 26 -8
-42 -21 28
-2 -5 -8
-10 29 23
-17 -36 -24
-27 -11 14
-6 39 31
-4 -45 -46
48 40 31
-19 50 21
33 9 -35
40 -45 38
32 -33 13
-11 50 21
-18 27 -40
1 11 -39
-19 -35 -23
-29 46 -15
-41 33 -4
-9 -18 47
33 34 -39
-50 -13 -21
-34 2 -22
-45 21 23
-49 17 13
-30 -16 31
-2 11 -32
-41 -43 15
35 -21 46
-11 42 6
-10 -27 44
40 -37 -30
