217 3
-9 -35 26
-34 -26 -40
-30 -14 -8
-44 37 5
-1 -47 23
3 -37 15
49 -35 39
-18 34 -47
50 -44 37
48 -43 39
42 43 6
17 49 10
50 -19 -47
-11 -13 -22
49 44 7
49 3 36
32 -41 -23
9 -13 5
49 20 -5
-5 36 -32
24 32 30
16 9 34
-2 -36 -12
-38 -7 -16
-17 13 30
-34 37 -38
9 -10 -5
9 11 5
10 35 37
-14 -23 -8
-41 33 -24
-10 -14 -15
-18 12 20
-4 37 -47
19 11 -48
-26 -44 -29
-9 -21 -8
-9 -36 -39
26 46 -32
-27 45 -6
-1 -13 -15
-34 -26 -38
49 2 -15
16 32 49
-33 49 -10
32 17 -8
-38 -31 -48
24 9 -4
26 29 -48
1 25 -8
8 9 -13
17 1 -36
33 11 23
43 -8 -40
-43 3 23
-27 -5 46
-43 34 -14
-33 -36 39
33 -30 6
-9 -41 3
-18 26 -45
24 10 -12
48 -19 -37
16 -26 -30
-9 -49 -6
-21 29 -8
-25 1 11
30 -39 -23
28 5 -31
37 46 -15
-42 -12 4
-1 -36 37
24 -25 -48
-34 -11 -12
1 21 31
-4 -21 -6
41 21 -7
-9 -30 -24
-46 -22 37
4 -23 -47
24 -41 -28
41 25 -39
-33 42 37
40 -43 -48
-31 6 39
-41 10 5
-20 -30 -23
-34 -15 46
-50 -47 30
17 43 21
-17 2 28
-21 -37 38
16 -18 47
-26 -7 -32
-50 -31 38
16 27 6
49 42 11
8 36 47
-41 25 4
6 31 -48
-34 -30 -23
-49 -13 39
-23 -47 -40
29 21 -8
48 -37 -22
33 -10 46
-41 2 -47
28 22 -48
-10 1 23
4 37 29
34 -38 -24
-17 -35 4
-22 -7 31
-3 26 -12
-26 27 -39
10 12 -14
-42 21 -32
-49 10 -46
-10 38 -47
17 -5 12
-33 34 -31
44 4 -40
40 17 14
45 39 -32
39 47 -32
49 -3 -12
-34 -35 -7
48 -11 -39
-17 41 37
41 -39 22
-33 18 30
24 33 17
33 18 14
10 -46 -8
44 -8 39
8 45 -7
40 -2 -12
-44 -30 -48
-2 -43 5
32 -3 -29
48 27 -14
-27 14 -47
26 -5 13
43 -12 -31
-9 23 -16
-3 35 -13
-1 -50 20
50 -15 -32
42 19 14
24 -35 -4
-17 -21 -23
-18 25 -29
-26 -27 -47
2 12 -32
2 27 -48
-36 -6 7
-10 12 -46
2 -19 46
33 -18 21
3 -37 -8
-9 14 7
-49 -33 19
50 -8 -24
-3 -30 29
-34 -19 11
40 25 26
-9 27 -45
25 12 -31
-1 -41 24
16 -1 -41
9 11 29
20 -30 -47
-50 26 -20
5 -46 14
33 -4 -23
9 19 12
-50 -21 45
-19 5 15
-50 -20 6
9 -28 -13
-35 18 -23
13 -31 -39
-11 -27 14
35 -44 -45
-11 27 -37
-1 25 26
-3 42 4
16 -30 22
-19 35 5
32 -37 5
-34 27 -40
48 -22 -24
16 -47 -15
5 -39 -15
-50 10 -21
-35 39 -8
-20 -13 29
-17 35 -30
8 25 11
-10 -19 3
8 48 27
-19 -27 -37
-12 35 20
41 46 31
1 -5 45
49 -34 26
8 50 11
25 -26 37
24 -43 45
-25 -27 -6
16 -6 47
-38 30 -15
-34 26 35
25 49 46
18 -35 -48
16 44 28
40 12 20
