217 3
35 3 -29
-26 -18 -44
8 -49 -37
41 14 46
-26 38 -7
45 -7 15
-1 -23 -16
-9 -43 7
-43 -27 -44
-4 5 39
-10 26 35
11 -36 -48
-19 15 -8
17 19 -38
-30 -14 21
8 42 -27
-49 35 -39
41 20 21
25 -44 21
-41 -38 -8
-34 14 -8
-12 22 47
43 -36 20
-13 -29 -30
48 -43 22
32 1 50
-27 -35 20
-1 45 -38
41 -11 47
-27 19 -7
-45 -15 31
45 -24 15
-29 38 47
-12 -45 -14
48 10 6
-36 -13 5
-43 42 -12
-41 10 -40
-11 -21 37
-11 -35 -7
35 4 7
-19 -7 46
-35 -46 39
11 45 6
44 36 39
19 -14 -23
17 12 6
34 35 46
49 20 -14
-36 -31 22
-10 25 -4
41 26 5
16 34 -37
-1 35 14
-25 37 15
-35 18 -13
48 49 -37
21 -46 14
19 -28 -23
-9 -25 -16
-9 -41 12
9 41 -4
-6 5 39
9 21 -40
9 -4 46
36 4 -31
-43 3 12
-45 39 31
10 -4 20
-17 -36 44
27 4 -15
-9 -2 -30
17 -43 -14
40 4 -23
2 -35 22
-41 -11 45
40 -29 -8
-25 31 -16
12 -38 22
-28 11 39
28 21 39
5 13 -7
25 -21 47
-41 5 45
-20 -38 -15
42 -14 23
-17 -36 12
9 42 37
40 -32 23
-49 50 21
-12 4 -24
43 -36 31
9 -34 -30
-1 17 50
44 6 15
-2 -11 13
-33 34 4
-49 -45 31
-1 25 18
-7 6 22
17 -42 -14
-11 -6 -24
-20 35 29
33 21 30
44 13 30
-9 -18 -36
-4 -31 -8
-25 24 -47
-50 5 -47
37 47 -8
-41 35 3
-21 -37 6
-12 -40 47
-25 44 36
-1 -11 30
-28 14 31
-46 15 -40
-12 43 -48
42 -11 -24
25 18 37
26 21 -40
-10 20 -24
29 -47 23
24 6 -8
-18 46 -15
8 28 22
40 27 -30
-27 20 -31
48 16 -50
-34 -19 -32
-42 -11 -32
8 4 -32
-33 34 39
20 37 15
24 9 49
40 48 -46
-49 -35 -46
5 46 -47
49 12 47
17 10 -23
25 -18 20
-18 -12 -5
18 43 47
-17 -34 -4
-17 -50 11
48 33 13
32 48 -20
20 21 6
49 34 43
-34 -3 47
36 6 47
-5 6 -23
-43 -46 15
25 38 -24
24 -35 -21
16 -31 -40
2 -11 43
18 13 38
18 43 28
45 -30 -47
32 -43 -5
-50 -36 39
42 36 -47
-33 -2 41
1 25 -48
-18 34 22
-18 -10 3
16 19 -5
18 -12 30
16 -13 30
32 41 50
-34 -20 6
43 -21 -23
-50 2 -36
-41 9 -18
-44 5 -24
18 -4 39
-42 -4 22
-2 -22 38
48 -42 -44
32 -21 -16
1 -19 -23
-28 19 46
-34 -20 -16
24 35 23
-1 30 -32
9 -35 43
-17 25 -48
24 49 15
-3 -44 -8
-42 11 45
-3 -23 31
-25 8 -44
17 42 -13
48 25 -35
-31 -39 -8
42 -46 -14
-25 -36 -13
14 -15 23
25 -43 -24
-2 6 -7
-41 13 21
41 42 -35
-41 2 -36
9 38 7
1 35 30
16 -10 -19
29 37 47
40 35 -46
8 -26 45
-43 6 -24
-50 10 44
49 18 -13
32 16 -39
42 21 38
-35 20 -48
-1 -10 -36
