217 3
-42 -44 -30
-17 -31 7
-20 5 39
41 -3 23
-26 -12 -22
-2 -35 -48
10 -3 -32
17 35 -38
34 -22 46
19 -36 -48
-25 -42 -39
1 37 -6
27 35 44
9 45 15
-17 -24 -8
8 -3 29
-33 42 26
-12 27 -13
-49 26 50
-1 6 -8
-1 49 45
24 8 -50
-49 -22 -8
-49 10 21
41 43 5
-20 -47 46
43 -5 21
35 -38 15
25 -11 -13
-38 29 15
-35 5 14
-9 -20 39
-18 42 28
-19 12 -6
35 20 -14
11 6 38
16 42 -24
-27 -23 39
18 -23 46
-41 25 29
18 -5 6
-41 -50 -31
-25 -17 -50
33 38 -24
24 -33 41
-12 28 -22
-13 6 39
-9 40 -41
-43 3 46
26 13 47
-17 -2 50
3 13 -7
24 -43 20
-42 -10 -7
44 36 -31
9 -28 47
-49 -33 -40
10 21 23
-41 34 7
2 35 21
-34 21 39
-33 -10 -45
-1 -37 13
-26 34 -19
-14 38 47
-35 -14 21
8 -33 7
41 -27 -21
20 -7 31
-26 -19 43
-14 6 -16
12 -13 -8
-25 -49 -15
32 41 33
42 -22 6
32 37 15
-35 -37 15
40 43 19
40 -3 12
32 36 23
32 44 15
32 -17 -44
-49 -42 -24
4 44 -7
32 -9 17
36 21 -7
19 36 -8
-19 13 45
50 -30 7
10 -31 -7
-4 -37 47
30 -32 23
41 -50 -14
-18 -36 21
-49 -12 38
-34 18 -14
-50 2 -13
41 -30 46
-11 34 14
50 43 -29
25 28 -22
8 2 23
1 -5 -21
-34 3 -14
8 -39 30
-2 -26 -15
16 -11 15
-28 -4 47
-49 20 46
34 -29 -22
-33 26 20
-9 10 -23
42 4 -8
41 -45 -38
28 21 -8
-49 -28 -21
-1 34 19
-19 11 -44
19 29 7
43 19 46
-49 -13 14
8 -28 -32
-49 37 -14
-37 -23 47
-49 4 -46
-49 50 -31
-26 -42 -31
8 22 23
-2 -45 -5
-10 -19 -29
-41 -14 15
-49 -50 18
-25 36 -46
-41 22 -31
-49 -3 -30
-36 -21 23
-17 -12 35
24 17 37
27 44 -14
-49 -50 -5
-25 41 5
10 -45 12
-49 -50 -10
-49 36 -32
-9 -43 -47
40 -46 7
27 -36 11
-25 -10 5
48 -36 -23
36 -5 30
-12 -44 -21
-18 43 20
-19 13 -14
26 11 -31
18 28 29
9 10 23
32 -41 43
-49 1 -16
-1 34 -21
-19 18 -22
-36 45 -8
2 -4 -15
48 -43 27
-27 -13 38
32 -21 46
12 20 -15
25 -10 22
25 2 -28
16 -37 7
-25 -43 -46
48 41 -36
-44 -29 -39
-14 22 -39
-44 -14 -23
41 -21 -23
49 -5 -15
35 36 -39
1 3 -40
-36 19 -8
8 -19 5
-21 -15 -7
24 9 12
14 22 30
-10 49 39
-41 -36 35
49 13 -31
18 2 15
40 -10 23
1 -5 15
-25 -20 -22
20 -46 23
-28 -45 38
48 -42 -39
16 -30 -38
-33 50 12
21 13 37
-35 14 -24
32 36 -6
-12 4 22
-3 43 -7
-34 4 -22
-43 -45 -39
-37 20 47
35 -21 36
-25 -26 47
16 -18 -48
-17 43 46
-34 26 39
18 35 -38
-2 -7 30
3 19 -21
24 28 31
-19 35 -48
18 -3 -24
-42 10 23
32 18 45
24 14 -40
