217 3
3 11 -5
1 19 15
18 11 45
-17 -18 -40
-25 -21 12
-27 -28 12
-33 27 38
27 15 39
-12 -21 6
48 18 -30
-19 39 -24
3 43 -5
1 10 -46
-9 -4 11
9 3 4
24 17 -46
48 11 19
50 -44 -13
11 -45 -14
40 -5 4
28 -5 -32
-33 -4 -6
-2 39 -8
28 38 23
1 26 -23
9 -11 23
50 4 -5
-42 -43 -40
1 -45 36
32 1 -45
-26 -20 -5
17 -35 -28
-41 11 -7
-44 19 37
49 -44 -31
33 -3 26
-6 22 -32
50 3 -6
50 43 38
49 20 23
-9 14 38
26 -6 -48
-34 -11 -46
-25 49 31
45 37 -14
50 46 23
32 -10 -13
24 -6 21
16 3 -15
-50 2 -43
-27 11 46
-41 -26 35
35 -24 -40
10 -28 23
-27 -20 -6
24 43 -29
-36 -15 -7
-33 -27 39
29 -6 -39
8 34 -32
16 -2 -10
-50 -11 -5
12 -46 45
-37 30 47
-50 18 -12
19 5 -23
32 49 7
24 19 30
-35 -20 -30
-2 -18 46
-39 -23 15
11 -38 46
16 -37 14
32 -37 30
26 -14 7
2 39 47
-1 17 29
36 -32 47
42 5 -23
-35 -36 47
10 4 -16
32 -9 1
-25 18 38
8 12 -6
-35 -11 -15
-30 22 -8
-27 46 -40
-50 -28 -45
-41 -29 38
-42 19 22
-18 17 -27
34 27 -46
-2 -27 38
-50 20 -47
42 5 30
-9 18 44
-21 37 -6
26 19 30
8 29 -47
25 49 -22
8 -1 3
34 -45 -38
49 42 -30
26 19 7
-19 -20 15
10 -22 14
-41 -13 -47
28 22 -16
41 28 -21
-2 50 -43
50 -3 -28
-10 -38 -23
-34 9 -32
-33 -42 45
8 36 -31
-2 -43 45
1 -10 43
16 -12 -32
16 9 -31
-20 -36 5
-33 18 36
-36 28 47
2 -12 -40
43 -44 -5
20 -32 23
-45 -38 -23
-25 48 -12
24 35 -46
-35 -43 5
40 33 45
-35 -44 -48
12 21 15
-5 -16 -8
-26 -46 31
16 48 39
-38 46 39
-25 -10 17
36 38 6
40 38 7
-9 -5 -46
-25 44 6
-49 -42 -47
-26 21 29
24 2 12
48 -34 -3
26 -27 -38
-27 -46 31
-19 -46 -48
-9 -37 38
-20 -46 -48
-10 11 -46
29 -14 39
24 40 -45
-34 -18 -14
-27 -45 -40
-41 -32 -24
16 24 -41
1 -45 -8
-44 -46 30
49 -38 21
9 10 46
11 19 15
19 -44 -46
-50 -35 -8
24 -14 -31
-42 -3 13
-14 -31 -48
19 46 31
16 -14 -31
34 50 45
1 35 28
-25 27 -8
27 20 5
-1 48 -5
2 27 -39
25 -19 -12
-43 4 -22
-26 -37 -7
34 -29 -16
18 35 30
-34 12 23
-33 35 30
50 10 30
1 43 12
-12 -38 -7
21 -39 -15
32 49 19
40 -44 47
-34 -43 -38
26 -43 -40
-27 28 22
17 34 -5
-25 16 10
-17 20 -22
-1 12 -32
33 42 11
16 -42 -38
12 -47 -15
17 1 -39
-42 -5 14
24 -46 -30
24 -18 39
-4 3 37
-33 32 -4
48 -45 37
16 41 -22
-41 -19 -14
9 -10 -8
32 -25 -35
-49 18 -20
49 -5 -8
-18 21 -23
-10 -27 36
-3 12 -24
-33 -5 37
24 6 46
-33 18 12
