217 3
-50 27 -23
32 44 46
40 -36 38
-41 18 -21
-17 11 38
19 3 -5
42 -39 15
-49 29 -38
-26 49 -24
1 -27 -44
28 13 23
1 33 15
43 29 -32
-34 9 21
1 -11 -36
24 29 30
-42 -43 5
-2 42 43
-45 -29 -16
-49 11 -38
17 2 -14
41 -42 47
10 -28 7
16 -15 39
-25 -20 15
49 -28 6
16 1 36
27 12 7
16 -33 -38
-34 -21 -39
40 21 46
40 -5 37
35 -12 23
-17 -38 22
3 37 21
18 44 -31
42 12 23
35 -21 6
-17 43 -37
1 18 28
-49 -24 15
49 10 -19
-26 29 46
-44 -31 23
8 -43 -12
34 -23 -48
27 -21 -39
-26 49 -4
-17 -1 15
10 36 5
17 -42 6
-9 25 15
18 -44 30
41 3 6
24 -49 33
-28 30 -7
2 12 5
-34 -28 29
49 30 23
17 18 47
-41 -25 2
8 -21 -47
32 20 -23
41 18 37
-34 -27 -15
-35 -45 47
41 27 39
12 -22 -31
-2 36 -37
-17 32 50
10 -20 37
-3 -29 -7
35 39 47
24 -27 -20
33 28 13
-36 -38 -16
-50 20 46
-29 31 -24
21 -31 46
42 19 -24
28 21 39
17 -20 -5
37 -47 -7
41 19 -16
8 16 -30
-21 -46 15
24 17 7
48 25 -5
-33 -12 35
8 13 -14
32 -13 -16
32 -38 -6
-41 -12 29
-50 -15 47
10 -5 -21
40 -34 -32
36 22 -40
-46 45 -7
25 -22 47
-50 -12 -30
48 24 10
42 38 -40
17 -11 -16
48 -18 -19
42 11 -45
35 36 15
17 46 39
-25 41 20
-42 -3 -15
24 1 29
-18 -28 19
-21 12 45
26 10 31
-42 -7 -32
-17 41 4
-2 -12 31
50 12 -13
-19 3 -29
41 19 28
-41 8 2
-4 -37 -6
-1 21 31
-49 21 -15
40 38 -47
41 28 -30
40 41 -16
-33 1 18
32 -1 -50
17 3 -32
1 -19 39
17 -44 -47
-1 26 5
-13 15 -48
34 4 15
-12 36 -39
18 50 43
42 -23 -7
-1 -12 37
40 44 -8
40 -46 23
-18 -50 35
-28 13 -16
9 -45 21
44 -5 -14
24 21 -39
-27 -39 -24
32 2 28
9 -20 -22
16 19 4
24 49 -37
-17 48 -20
-9 44 22
4 -30 -48
25 -6 -15
-1 25 6
-26 -12 -38
-3 -14 6
-9 42 6
-36 -22 -16
-33 -49 16
32 -41 39
17 26 45
-17 -21 13
-7 -47 -48
-17 -41 10
-14 -31 -32
13 45 -14
26 -28 -46
-34 -3 6
28 -7 -8
-21 -23 30
-13 5 -47
-18 28 6
49 43 -32
26 -6 14
8 -1 19
26 -44 -8
24 -41 -44
-41 -43 -46
26 13 -31
8 26 -36
-12 19 21
-28 -30 -31
25 -37 22
-45 -46 -6
48 -2 -6
-6 -8 47
48 -28 3
25 -35 43
-43 -44 47
9 27 13
-49 24 -3
-25 43 -7
1 33 -5
-33 19 13
-9 -1 -36
36 -21 -15
26 37 31
9 -43 20
26 38 31
-41 -11 -19
1 14 15
1 13 47
-10 5 -8
-2 27 -32
25 -43 -44
-33 38 -47
48 50 10
-26 -44 6
-42 -39 23
-49 27 -4
-1 2 -15
48 -42 26
48 34 11
33 -34 -7
19 -29 45
33 -14 47
