217 3
25 -36 22
41 -26 -27
33 -50 -40
3 35 -21
-27 -15 -24
1 -30 47
25 -11 -20
-41 3 -21
9 -2 -24
-34 9 22
17 35 -46
9 -18 -6
16 -12 6
17 -27 -8
24 -39 15
-33 -3 -5
-41 27 37
-3 47 7
-9 28 44
13 14 -40
4 -21 39
-26 11 20
-26 -43 3
25 -19 27
12 38 -40
-49 27 -39
4 -13 -30
-19 36 -8
44 30 -39
-27 47 -8
-50 -42 44
-1 -29 -30
-35 42 5
-35 12 -47
34 35 -31
44 15 -24
1 -2 -39
-34 -46 39
-33 -34 -39
3 45 37
40 50 -28
41 -35 21
-25 -18 -7
48 35 -36
36 45 -14
-21 -31 47
17 -11 10
-33 41 46
3 43 -6
40 34 35
37 -46 31
-49 -23 -16
8 33 -12
8 -35 -12
-41 -15 -40
11 28 22
25 -27 11
32 25 -20
24 -12 -14
-2 -10 -3
-50 -11 46
-17 -25 7
35 -21 7
34 37 -24
40 13 -38
-50 27 -44
16 -11 -14
-34 -27 -5
-43 29 -30
-18 34 30
34 -20 -7
9 -4 37
-18 -26 3
1 45 -16
-19 28 45
27 44 -47
-43 46 -31
-41 -10 29
41 -43 -31
-9 48 -32
-41 -9 -8
8 40 34
40 -19 -45
-6 5 -31
-3 -20 -38
48 -34 3
-9 -30 13
-37 30 39
41 14 6
-21 -8 47
16 18 39
-3 -30 -8
-33 -28 31
48 -10 31
16 12 -46
-1 -10 27
49 10 39
-18 -36 31
-4 -21 -38
6 31 47
44 5 -15
41 27 -38
-6 -46 47
25 -7 22
-42 17 3
27 20 39
36 -13 -16
-47 -24 23
-2 -19 18
-49 -28 20
16 11 -38
4 12 14
-41 5 7
34 -37 -21
4 28 39
1 -18 4
17 38 39
24 17 22
32 -26 -16
-2 33 -11
-20 -28 39
-42 19 -15
18 45 15
-11 15 -40
-17 -35 -36
25 50 -46
-26 -47 31
-9 -4 -31
-33 -29 -24
-21 12 31
-41 2 44
48 38 -8
32 -3 43
49 -42 50
41 34 6
48 -25 37
-49 45 -48
-4 -12 -32
-1 -44 -20
11 20 -14
-13 37 29
-1 -12 6
40 -47 22
-2 -35 3
-34 -35 -29
37 22 -47
17 -11 29
-41 40 1
-49 -32 47
-17 42 21
-49 30 -15
40 41 -38
-1 37 47
24 -33 1
-36 20 -5
1 9 23
-28 -39 23
10 -15 14
-29 37 14
-10 41 -46
48 28 47
-28 -31 7
-35 -4 30
29 -47 -48
-11 2 21
12 28 -6
40 8 42
-50 37 31
28 -6 47
-1 6 23
41 49 -24
-10 49 20
-18 -3 -11
-18 -2 -11
-35 50 11
34 -30 -47
35 5 46
-50 43 13
10 22 -16
-34 50 45
1 18 -48
1 15 -48
-43 27 35
-17 38 -32
-22 14 -24
-1 50 -5
-25 -15 -23
-49 33 31
-2 -22 38
16 -43 -39
34 20 39
48 -6 -24
-13 -14 -31
41 -28 -37
16 41 11
-4 3 12
-44 -39 -40
36 -46 -30
-10 -43 -39
-49 48 13
-19 -11 23
10 -19 6
40 35 12
-25 10 23
-21 30 -24
-26 -8 15
-18 26 -40
-13 -15 -31
-1 44 -14
-42 3 -5
-33 -27 -40
-4 20 29
-18 22 -48
-9 10 43
-10 41 -27
25 46 47
8 34 12
