217 3
45 30 -48
50 -12 -28
50 19 -29
17 36 -14
44 -7 31
33 34 10
1 45 31
33 -44 -28
-3 30 7
-9 -27 39
-33 -15 -39
3 -21 47
25 3 -45
30 38 -8
3 4 7
27 -44 -12
16 -10 -20
33 -20 6
9 45 15
-41 12 -22
24 -4 6
49 -32 31
-41 -42 11
-36 -30 47
-19 -38 -32
50 47 -8
-10 -20 37
12 37 7
41 -3 44
28 -47 14
-5 -46 -16
-9 -3 11
2 19 23
29 -39 47
11 22 -32
24 42 -28
-41 9 -7
-21 -7 -48
9 41 5
49 -35 20
44 6 47
24 -43 21
-49 -20 -23
-20 -5 -31
2 27 -7
-49 22 -8
-41 13 -8
27 -38 14
1 5 -8
-2 -46 14
9 -28 37
-1 18 15
2 43 4
25 -12 47
43 -14 -15
1 -35 -46
35 7 31
19 13 6
24 -29 36
-19 -46 13
-27 -30 23
24 -27 -30
-12 -6 -15
-49 -10 46
18 21 -8
35 27 -39
-33 -27 39
32 -1 34
18 -21 -8
45 38 47
1 20 28
-34 -37 -47
44 37 -23
9 36 44
-10 -22 31
-34 -28 -14
-33 -27 18
-4 12 -38
-20 -5 -38
33 -45 14
19 -29 -7
-33 25 -11
2 -35 6
33 -36 -37
-49 -10 7
49 -4 43
-20 -28 -13
42 36 -24
-9 19 -14
-43 46 -16
11 -20 47
-19 -3 38
-41 -28 23
45 22 -31
4 14 -16
10 -12 -24
24 -48 7
10 44 -38
8 27 -14
-29 45 -23
42 -37 -21
10 -21 38
-29 -21 -16
-20 12 44
11 -21 14
8 -50 3
1 -38 -22
-26 6 -48
-2 -19 37
-3 -21 -29
14 6 -32
-26 -20 -32
25 -34 18
12 -22 -7
-50 33 -48
5 46 -48
-42 13 -15
25 10 34
41 -38 -8
27 11 46
1 37 7
22 39 -16
-44 4 -48
16 6 -8
-4 12 -13
-49 50 35
-4 -29 30
-4 -5 12
27 36 -30
-45 28 -6
11 12 23
19 -12 15
10 -7 -23
-29 36 13
16 -42 29
-35 13 45
41 5 -39
-29 6 -40
1 -19 28
9 41 44
50 20 15
36 -8 7
-27 2 -14
16 3 -40
-26 -46 22
-22 13 15
24 49 -37
-11 -13 -48
-1 22 38
-2 -21 39
48 18 -3
-33 -17 19
-36 47 -24
24 10 -44
24 -37 29
9 19 -8
16 -46 6
-1 -12 -47
37 -30 -39
24 -45 29
17 -20 47
17 46 -40
2 11 -28
34 5 -46
-10 6 14
25 50 43
-9 1 -8
-27 50 -45
-14 -39 23
19 -39 23
-43 -23 46
-33 38 -48
8 10 12
-25 9 15
50 43 -24
-18 -30 29
40 18 -4
-5 14 -24
2 -45 -46
11 21 -8
17 33 -13
-34 43 -48
41 -47 -32
1 34 -39
10 44 14
48 36 29
32 39 -48
-28 -46 -24
-2 49 -32
34 -21 37
16 19 -48
-42 -44 20
24 -11 -19
-26 -44 27
9 -11 6
-9 -26 44
-12 4 14
20 -45 5
-41 -4 38
40 17 11
49 50 -30
17 50 3
-42 -39 31
48 -4 36
8 -18 38
-28 5 13
18 -20 -24
-34 -6 14
-30 -16 31
-19 44 -48
-25 -5 12
17 -22 31
-11 -31 -16
43 20 36
-18 38 -8
-29 -14 46
-9 -35 28
