217 3
-41 19 -21
20 -37 21
-25 -46 -30
48 -22 -16
24 45 22
-34 -28 -48
-25 -20 -15
-21 4 5
-4 21 38
1 -19 -32
-10 50 -43
-17 -5 30
-9 -34 -23
-25 -35 -11
-10 26 31
3 -5 39
-25 -42 50
18 34 -14
-41 -21 -15
-11 -20 47
-45 -13 -8
16 48 -15
-4 45 22
-33 -46 21
-33 49 9
16 49 -7
32 1 -31
-33 10 -23
-36 -30 -40
3 5 6
16 25 -46
32 34 -24
-41 24 -40
-19 11 -39
-26 18 -21
18 -11 -7
9 -36 -13
-11 27 -21
-33 22 -24
45 -39 -48
2 3 30
33 -11 -13
-41 -42 -30
-43 -29 47
-41 30 -8
41 -46 31
-6 22 -32
40 2 36
34 35 45
-34 42 -11
-17 34 31
-20 -38 -40
26 -23 -40
1 -15 -24
-33 -26 46
-2 10 -38
26 35 -40
16 -37 21
-27 -5 29
-49 24 35
48 -6 -39
1 -44 27
28 15 7
-33 -26 12
40 44 -5
8 -5 13
-26 -19 42
3 -7 47
-26 21 15
33 4 -15
-18 -45 6
-3 -13 -7
-13 -22 -31
-1 -18 10
40 21 -23
-41 49 -28
-20 -38 -47
-25 9 -32
4 45 -7
-25 2 -32
42 36 -32
-12 44 -6
35 -5 -46
32 34 50
-11 20 -15
32 -36 15
8 -26 -16
25 34 -39
-1 41 -10
24 -45 13
-50 43 -31
25 29 -47
49 -11 -40
27 -45 -37
-17 19 -14
-42 9 -14
4 -22 -7
19 -46 -6
42 26 -38
41 -38 -7
32 44 14
26 6 -48
40 -20 -28
8 13 -39
17 6 -48
48 -47 7
40 11 -37
21 -38 -7
-3 -28 36
-50 -14 -7
-3 46 31
-1 33 -19
-10 -18 -14
-11 19 -48
-9 35 -23
16 48 37
-20 30 47
8 -3 -44
-26 46 -15
-26 2 34
24 -26 19
-45 44 -23
-44 -37 29
34 37 14
-34 -15 -32
-41 18 39
-30 -6 47
-10 -39 6
-17 -2 -20
40 20 7
9 1 10
-49 2 -14
40 48 33
-25 -38 5
-19 20 -29
40 -12 -31
32 17 -3
-49 34 -32
2 -29 -48
-3 -29 45
-49 45 -16
-17 25 -20
-30 13 -32
24 -34 15
25 42 -45
-1 -22 -23
-49 -15 -31
-4 -37 -7
-41 -17 49
-2 -21 29
-49 -7 -15
1 26 37
-25 -45 39
10 -3 -30
50 28 -6
40 33 -20
25 10 12
35 20 -39
25 18 -32
-15 30 -48
-43 -20 -13
-2 12 5
26 27 -24
-50 -35 5
48 -12 -38
36 -16 -32
-19 -13 20
2 -28 21
33 49 -40
-17 50 7
44 21 6
50 27 47
41 39 31
25 17 -40
-26 10 -37
-43 -37 -30
49 41 -44
-17 -21 45
-21 -16 15
29 -39 -31
-1 8 24
24 8 7
40 48 15
32 -19 -12
33 18 12
17 34 -21
34 18 12
48 50 27
-25 9 33
11 -5 -16
27 11 -16
-5 21 -24
-11 19 5
36 -46 47
-1 49 41
-1 24 -32
9 -43 45
26 -43 30
32 -20 3
26 6 23
45 30 -31
3 -4 31
25 -43 42
-49 34 13
-49 50 29
33 -43 -44
-41 -37 36
-42 43 45
1 4 -22
-45 36 4
49 -11 22
24 42 -35
16 45 -47
37 -38 -15
-36 37 22
-33 19 -47
-34 43 -24
