217 3
-50 39 -40
-49 35 -38
-20 43 -40
32 33 -47
-26 18 -23
16 17 -15
-25 10 -4
42 -28 22
48 17 -6
43 46 23
-9 34 -5
-41 -6 38
-18 12 -31
-33 10 34
-19 38 -39
4 -38 -16
40 -26 -34
25 15 -8
-41 -2 -42
-45 -6 -14
-26 -19 -20
-49 -30 -38
-18 -14 -47
-43 36 5
44 46 -48
27 -38 -48
-33 9 27
32 20 -22
-36 -31 47
-10 -19 -31
24 -43 -28
-18 -19 -31
1 -28 -30
40 -50 23
-2 49 44
48 25 13
-25 -28 44
40 4 45
-13 36 6
8 -22 -48
18 20 23
42 -28 -8
40 -10 -21
26 35 -40
-43 20 31
18 -44 23
-25 -1 33
40 -18 13
-42 -11 22
-5 29 -47
-50 25 22
41 -10 13
-23 7 -48
37 -8 -32
29 -15 -24
26 -12 28
9 -4 39
2 5 30
-36 -32 7
12 -14 -24
34 21 -31
49 18 -16
-25 1 10
-5 -38 47
2 -36 -16
32 8 18
-41 -27 23
-10 19 15
-25 6 -15
9 11 -5
-18 36 15
-43 35 -32
16 18 43
-17 1 28
3 30 -16
37 -39 -24
-42 18 -13
-5 -46 23
33 49 -35
23 -40 39
-10 -35 -15
41 17 7
25 -22 -46
49 -27 47
43 12 -37
-43 30 -48
-27 46 31
-12 -46 -38
-11 47 -48
-3 -31 -8
-12 -16 31
-33 27 20
32 16 -43
-34 -36 -29
-1 -27 28
11 -37 47
-45 -5 37
-49 33 -13
25 -37 -5
48 11 -29
-1 3 13
-1 33 -43
8 37 39
-41 32 -30
6 -48 7
-33 20 -30
-20 -21 -14
49 -43 -47
11 3 30
16 -4 -29
9 -46 31
-26 37 -15
-17 3 47
-20 29 14
8 49 -38
18 -37 -22
-43 37 -47
40 -7 47
17 -50 -32
49 -29 -48
41 34 43
-18 -20 6
8 -18 -14
9 -12 -32
-17 19 -12
26 -28 15
-45 -39 23
40 -44 12
-25 -12 31
-9 33 4
38 22 -39
24 17 31
-26 -13 5
-19 27 -16
33 -11 38
-26 10 -13
-18 -43 -4
33 -21 13
9 -44 -4
48 -36 44
40 -2 35
26 35 -45
48 -43 13
16 -3 -5
-36 -22 30
42 19 -40
-36 -5 -21
16 -45 -40
-27 -38 47
-2 -13 -40
9 -44 -5
16 -12 31
-41 17 21
-43 -21 46
-4 -5 -23
18 38 -32
-1 -50 5
-6 30 -23
48 -50 -19
-27 2 46
1 -12 4
-41 49 -34
32 -41 50
2 50 28
-1 -43 -20
-2 -42 15
25 -27 -46
11 -23 31
40 2 12
42 27 -15
-30 -23 -40
-35 11 -21
42 -20 -16
34 29 46
-11 18 -38
37 -32 -16
-35 -5 15
-41 -34 23
25 -48 -32
-25 -11 -37
33 -2 5
50 -6 13
16 25 43
16 40 -21
-1 -11 -46
28 20 5
25 14 22
17 34 -29
48 -45 22
11 -16 15
-33 42 -3
41 -4 -23
-1 -14 13
49 -39 -16
-41 -19 14
10 6 7
50 -22 15
43 -14 15
-50 -22 47
26 -39 -32
-17 -5 -32
-20 3 47
48 41 -43
49 -11 -36
-35 34 -48
34 14 -32
8 -2 27
49 -44 22
1 11 -22
17 36 -30
-9 25 -6
-2 35 -15
-38 -32 47
20 14 -32
35 -45 -13
-13 -21 7
50 36 -45
