217 3
18 -30 21
-41 -2 -37
32 3 -37
-27 44 7
-36 -12 46
44 30 -32
-11 -44 13
25 33 14
49 -36 4
8 -27 28
41 -4 -40
-50 12 -40
-25 -20 7
17 20 -31
8 42 13
26 -44 21
-25 -21 45
49 -35 22
49 -5 -32
35 -22 39
42 -21 4
-33 19 -38
41 25 -27
-25 -50 33
41 -36 -39
45 -22 -32
26 18 -37
35 3 -30
27 12 -48
16 50 30
8 -28 15
16 17 -46
49 3 4
49 1 -31
-2 27 47
4 37 23
-13 5 39
49 3 -22
-1 10 -38
-36 -29 -22
-14 -23 7
-34 11 7
43 45 30
-34 41 6
1 49 -15
-41 9 17
-1 50 13
9 -29 7
9 18 23
-44 46 -15
24 4 36
19 -37 -39
-19 50 43
40 21 -30
42 -30 21
48 -34 -28
16 32 41
-41 40 50
28 -46 14
43 28 -47
-11 -14 6
24 18 -44
-26 50 46
-18 -26 -13
25 18 -24
-28 -6 14
-28 45 -7
-41 22 7
2 -12 -6
-33 29 23
40 50 -13
25 42 12
-35 -27 -38
-26 -36 -31
-11 27 12
-41 -9 -6
8 -13 28
35 27 -47
16 18 7
1 -38 -47
8 26 -5
50 -15 -16
-13 -5 -16
-29 -7 15
-17 -26 3
-43 19 -31
6 14 39
-6 30 23
32 34 35
-18 -12 -45
-49 -1 -10
25 -29 -23
-9 -33 -44
40 44 -14
8 -4 -20
-36 39 31
-13 -6 5
24 36 -14
-42 -14 29
-21 -6 15
50 6 -48
-27 35 -40
-11 37 14
8 2 18
-41 -50 -45
-50 19 23
24 -25 -31
-33 20 39
25 -37 -45
49 28 -37
-30 -7 -23
-27 18 -32
-44 47 -48
-12 35 -24
37 38 -8
8 45 -6
16 -50 2
3 -37 -45
-50 2 13
-26 30 -31
-35 -36 -7
33 -3 15
-9 32 3
9 43 -14
-45 47 -48
19 6 -24
24 36 -23
-25 34 -13
25 18 31
-34 17 20
42 3 11
49 -13 -32
-18 -35 14
3 28 30
41 -36 12
-47 7 15
-36 -21 37
29 -23 -8
24 -35 -43
-3 -35 45
25 46 -31
-41 16 -31
49 11 -36
-2 -12 45
-18 17 -13
-46 -7 -8
-1 27 5
49 50 21
-3 -43 19
-17 -50 11
-20 -29 -40
-44 3 -47
-50 -2 45
2 28 31
-33 -41 31
49 -2 3
49 -35 -5
33 27 -23
2 27 -40
-26 35 21
-27 -14 38
-11 19 23
13 -30 39
-50 49 -3
-34 -3 30
-42 -29 -46
-10 18 5
-13 -14 -40
42 7 39
-1 -25 -37
-5 -31 -40
9 -44 37
33 3 -47
-34 29 46
-30 -31 14
50 13 -14
34 -5 -15
-41 43 31
-6 14 23
-41 -17 -16
-26 43 6
-2 -28 -38
-27 35 -45
26 -29 -38
-49 -2 28
-4 -28 -46
-33 -3 39
41 20 5
48 34 12
-35 47 -24
-3 37 39
43 3 -38
26 -37 22
-36 -6 -8
-10 -12 -38
-49 45 13
30 -23 47
-1 40 -14
-41 -37 38
-25 35 -23
-4 14 -16
-26 17 -44
-41 17 -20
-4 3 44
-10 -44 29
-9 49 -35
-49 33 -4
-41 -43 22
-42 -6 23
-18 25 27
-4 20 44
18 3 37
-33 -5 39
16 -3 -24
-50 2 -22
17 21 -6
32 18 45
