217 3
-1 33 -31
34 42 27
48 -26 -27
-49 26 -38
-25 8 -4
9 27 6
-35 44 -39
-37 13 -30
5 30 7
3 -5 36
-12 -29 15
-25 -35 -19
50 35 27
42 46 6
-37 44 -15
-27 -28 46
-18 28 -6
-25 -4 39
-11 -27 -29
32 -1 12
-1 -26 -43
-11 -4 -7
16 -35 -47
-41 4 -6
-33 -21 -22
-9 -28 21
-2 49 -16
-9 41 -4
40 -28 -29
19 -5 -32
-26 -5 30
9 -19 38
25 -36 -39
40 34 -23
3 36 21
-35 21 39
-21 -48 7
3 21 46
-4 -5 -32
-49 10 -40
8 -20 -39
18 10 5
-22 5 -40
28 14 31
8 4 23
28 -23 -40
-30 5 29
40 -19 -6
-6 37 39
33 37 -8
-34 -29 -38
32 43 -45
16 8 43
-37 -47 6
18 -5 7
33 -34 -28
-50 -44 30
41 -2 29
-26 -50 -22
-34 33 21
14 -7 -48
36 -7 39
32 16 17
-17 48 -36
40 35 -32
34 -22 6
-36 -6 -38
-25 1 3
-33 6 31
-27 21 13
-12 -38 -39
-12 -13 -16
-28 -5 12
25 5 -31
19 -22 7
-33 16 -27
-34 43 -36
-50 4 30
-19 43 29
-10 -22 -39
32 49 15
-11 4 -15
40 -42 -30
27 -5 -38
19 -45 14
-49 -9 -43
-47 23 -40
13 -39 -7
16 42 35
9 -5 38
-9 2 4
38 -15 47
29 23 -32
-35 34 -36
24 -4 -28
1 -43 10
4 -7 -47
1 46 38
17 43 15
49 6 -31
40 -34 -15
43 -45 12
21 29 -24
45 22 -40
35 -20 -4
-18 -36 -37
32 17 -26
8 14 -39
17 -18 39
-2 -45 -37
-18 -13 -14
9 23 31
50 -29 -32
-12 20 14
-49 3 19
28 21 -40
24 44 -15
48 -17 -27
19 4 14
-26 -14 23
48 -1 36
17 -27 26
34 6 47
16 -3 38
-25 35 -12
-49 -30 -6
16 -34 23
-25 42 -12
49 43 -6
24 -46 39
36 47 23
11 4 -40
50 10 -6
-18 -20 -30
49 -43 13
-18 3 31
32 33 -42
-35 -46 -40
-42 -46 15
48 1 25
11 -44 -47
-49 38 -16
46 -31 -40
-43 -47 -24
34 19 14
-1 -42 11
-44 36 -6
-27 -47 -15
43 -31 47
1 41 -3
-17 -29 -14
-19 44 -15
35 45 30
-43 45 46
-18 41 37
18 11 -15
25 26 27
35 -6 -15
29 -14 38
-41 -23 -32
44 13 -30
-26 -43 -36
-19 -22 5
-4 -14 47
41 -32 -48
-43 12 14
2 5 -48
-49 16 20
-41 -1 23
40 -5 15
32 -7 -16
-2 19 -30
43 -45 -46
-17 -33 -7
-41 30 15
35 15 23
-17 33 -21
17 12 38
11 -32 -48
27 46 31
2 38 30
18 42 -47
2 37 14
49 -36 7
48 -34 -22
3 -20 22
-42 49 11
-33 2 -40
1 33 -21
48 50 -22
43 35 4
-42 -37 -8
-9 17 -7
9 13 22
-34 25 -22
-9 -26 38
-1 25 47
42 13 -7
18 35 31
-3 -22 -16
-43 28 -24
-10 -47 -31
41 28 -16
-9 26 37
42 19 12
18 3 21
26 -44 23
40 44 6
17 -47 23
-42 -44 -8
33 36 -47
18 -5 38
27 -20 21
8 -10 39
-34 20 -23
-12 -37 -6
26 43 15
