217 3
-37 36 39
-9 26 11
-2 43 -7
3 -5 14
32 38 -31
-43 -44 -8
-3 -14 -30
-34 -39 15
33 13 23
-26 -28 -7
-36 -29 46
40 25 14
16 28 -7
17 13 -40
8 43 13
-25 43 12
27 35 47
-9 -43 -7
-28 -45 -29
-9 -20 -6
-29 -30 -16
-49 11 -22
2 27 -6
-9 -12 -8
32 50 -38
25 -19 -39
-17 27 13
-41 2 -6
40 -2 27
24 32 -28
16 -5 -32
-10 -37 -40
-10 1 -29
1 -45 30
-25 9 -2
-25 -18 -7
18 30 -23
-41 -50 -13
27 6 47
20 -6 21
35 -46 15
-25 49 -3
2 21 -23
-33 -2 -7
-33 25 30
-26 12 36
-49 27 -24
-50 -43 37
-17 36 14
-41 -6 -7
-49 -1 -40
41 -34 -11
26 44 -32
-20 -5 -31
-50 -26 5
45 30 7
-25 15 31
17 -23 -32
-12 -8 31
10 30 -48
-25 3 -29
14 -23 -40
40 19 -15
-10 13 29
49 -20 -46
-29 7 47
-4 -21 -8
48 45 14
41 -22 -47
-44 28 -32
26 -12 28
9 -12 47
-49 -10 42
-10 2 -14
-41 49 39
25 35 43
10 21 47
33 -37 -46
-50 -43 -36
-25 17 22
-19 29 31
32 34 15
25 26 -13
-37 13 -38
50 -22 39
-3 -36 -16
35 36 -8
42 -5 -46
24 11 -12
5 13 -7
-9 33 44
25 -7 -39
-25 -2 -32
1 34 21
-41 -50 -44
-31 -7 -23
-34 18 -36
25 19 28
-34 -36 13
42 -36 31
-10 3 -15
-35 2 -32
-18 -19 6
48 -25 18
-43 4 -32
9 -30 15
-26 2 -40
32 -2 50
-1 49 -2
10 3 23
33 50 31
-3 -20 4
-28 13 29
-2 -3 21
-34 46 -32
-19 -20 -8
32 45 14
42 26 -46
-11 6 -16
50 -3 14
-1 26 19
16 -11 -32
40 -18 -16
-34 -3 -31
32 43 36
-1 -43 34
-17 19 -13
-49 34 -30
48 49 -11
-34 12 -32
50 27 -45
-1 -17 -12
-50 41 -16
-33 -4 -30
-49 35 44
-33 25 -31
8 1 20
-27 -23 -48
33 -27 47
48 43 -14
-45 29 -23
18 -36 -21
20 -8 7
18 -27 20
42 -21 13
33 5 39
-49 24 18
-33 17 36
-9 -20 -16
-43 -46 47
-23 -7 39
-44 -21 -7
-1 9 6
-44 20 -22
48 -29 47
20 21 6
25 10 -7
9 -28 -47
-4 -6 21
-26 -11 6
-18 21 31
-19 -30 7
-29 14 -39
-20 -15 7
17 -10 5
41 -50 -3
49 -42 46
-18 -44 -22
-30 -23 -48
49 36 30
8 49 41
-26 28 -45
1 -20 46
-42 41 -37
8 -44 -40
32 -18 6
8 9 43
10 30 -8
28 22 6
33 35 -48
-1 48 -32
-42 -45 -22
5 -48 -16
-10 29 23
-25 -36 13
-34 44 47
-9 -36 28
16 31 -48
49 2 14
-29 -46 13
19 4 21
2 4 -39
49 -6 -16
1 36 29
-1 -27 -37
50 -20 -14
-34 33 11
20 -13 -46
-9 25 -18
1 -39 23
49 2 31
-26 -36 20
-35 -11 -23
-28 -45 23
-42 -44 7
50 -46 -31
-10 49 7
1 -39 7
-34 27 28
8 12 6
-33 28 -39
-33 -4 15
-49 12 46
17 25 -22
43 20 -45
-25 17 -35
-30 -14 -46
