217 3
-4 46 -16
9 -34 35
-3 20 -8
-27 -14 -24
18 19 -14
4 -13 5
40 17 -46
-11 2 -36
2 19 -22
49 34 -14
-27 -46 -31
11 36 38
8 19 5
50 -28 6
-11 3 -29
50 20 -13
-19 44 -47
-50 21 -8
-11 10 -29
-43 22 6
33 -3 -39
25 -13 -30
48 10 18
-41 42 -24
-35 -12 47
49 -47 46
-41 21 -7
-20 36 -39
-11 34 -21
16 -49 -40
-44 -29 -13
48 20 -30
38 -23 -15
-18 12 31
1 -37 4
48 -17 -37
-42 43 39
35 -6 -48
-25 -18 17
-10 -21 29
17 34 36
43 -29 23
36 -5 -31
-27 29 -22
10 29 5
-6 -15 -16
-17 33 15
-5 46 39
-2 18 13
24 32 49
-1 -17 25
-26 14 23
-17 16 20
-18 -26 -5
-33 -37 -16
9 -12 43
25 28 20
40 -2 -37
-25 33 -29
50 45 30
-25 -29 39
10 -28 44
-41 -49 -31
48 31 23
-28 -22 15
9 20 22
24 26 11
24 3 36
24 35 11
8 -20 -5
37 38 -7
-10 49 -30
1 -11 -15
30 14 46
-34 -36 37
-19 -4 45
49 -18 -36
48 44 -38
-1 -6 -39
33 -32 7
-20 11 39
9 37 -39
-17 8 -36
-18 -36 37
-2 15 31
-41 -13 -48
11 -38 29
-17 -44 5
-27 -19 36
-41 1 -11
-49 9 -11
28 -7 22
-31 6 38
-49 1 -44
-18 19 -44
-11 -4 -24
25 5 14
-41 17 -47
17 -26 36
42 5 -32
16 12 -37
-34 -44 -23
20 -46 -23
43 38 -40
50 37 -8
-12 13 30
27 5 -16
-3 -28 31
-34 27 -32
17 20 14
5 38 -16
35 28 -21
-3 36 15
1 -23 -8
17 -50 -15
-3 -28 46
48 -27 -31
-34 -20 -31
-33 27 19
26 21 -32
-33 8 -30
40 5 15
41 26 45
-33 20 -14
-41 12 -30
-4 -36 31
-42 20 -16
-41 -12 -13
-19 -27 -48
3 12 21
50 -11 -16
9 5 -48
10 42 46
-13 45 -40
-25 -46 38
40 -17 -50
16 -41 2
-18 33 19
22 -47 6
49 4 47
-17 -34 12
-10 19 38
-49 34 43
-50 -7 -16
26 -11 -47
-33 17 39
-19 -35 -7
34 26 -15
-21 30 14
-17 -2 -42
-50 36 15
8 -34 -42
-5 44 -14
-2 9 -5
-4 -46 -48
34 -3 44
2 -3 15
-9 41 -37
10 -36 23
41 -44 -7
-1 -29 31
-5 22 -23
21 -30 14
1 -40 31
10 13 15
42 44 -16
48 33 4
-50 -3 28
-17 25 -21
9 47 -16
28 -16 -40
9 -42 -36
-35 45 -23
10 30 -16
48 34 45
8 -17 31
33 35 -40
21 29 -46
-10 27 -45
44 -5 -7
43 47 -24
-1 -25 -7
18 43 -39
11 21 -24
34 19 -28
33 29 -15
35 -12 38
-19 -43 -38
18 12 31
-26 46 23
-11 -37 29
33 -6 -8
-25 -26 1
8 -44 20
13 -23 39
42 14 39
-25 2 -44
-17 6 -40
17 44 -5
17 11 28
-9 -26 39
-1 9 34
32 -4 3
-18 19 -32
-50 -37 -16
-36 45 6
14 23 39
-36 28 23
17 -12 -28
-41 18 -20
-19 -15 -24
10 22 7
34 19 36
14 -40 31
-43 -4 -24
40 -45 -13
-29 -37 14
