217 3
-49 -36 -21
-12 36 21
50 -37 -14
9 -34 37
-9 -18 -48
-9 -11 15
-1 37 -23
9 22 15
-18 -3 -6
-42 18 -40
40 32 -23
25 29 14
36 13 -40
-18 -6 -24
49 -18 42
-1 45 -23
-12 3 -21
32 50 -23
-2 10 12
32 1 34
19 -30 22
18 -5 4
9 -26 -43
16 33 -7
-17 -10 -24
49 -27 -28
48 36 37
-41 -50 26
40 -26 27
-42 15 -8
32 -19 -8
34 -36 -13
-42 -20 -40
-50 20 -8
-10 27 -6
32 25 35
18 -12 7
-21 13 -32
27 36 47
18 -45 23
40 -18 -38
-25 -50 12
-27 4 -6
17 -11 -13
-27 26 38
42 27 -32
-17 42 -3
-33 -18 -23
-43 -29 47
-26 -20 6
2 -36 37
-27 -43 -20
11 22 -48
42 10 -40
24 49 -12
-26 -50 11
-26 -20 22
8 50 -20
24 26 20
-13 6 47
17 3 -15
16 -43 -29
44 30 46
-1 33 31
-9 -49 38
48 42 -40
-27 -36 -47
18 -44 21
-26 30 38
-50 -26 -23
-20 -46 39
-49 29 7
-34 -12 23
-12 13 -6
-2 -45 36
-22 -39 6
9 5 -23
-28 -6 38
12 5 -23
28 5 46
41 -7 -39
-50 4 31
40 -20 27
-25 5 -15
16 -14 7
-17 1 14
-35 -30 -24
-2 49 14
42 26 20
8 41 3
-35 30 -32
8 19 -48
-41 5 38
-12 -5 23
26 -19 -27
33 49 -35
-17 -35 -37
-17 33 -26
-34 18 -44
42 -37 29
-41 -10 -27
-12 -24 7
-9 1 38
19 -39 -24
-4 -21 -46
48 49 -2
-1 -2 33
17 -12 -24
-12 13 -16
-50 19 28
32 -4 -45
24 41 -6
40 10 43
-36 -4 -45
-37 -21 29
25 21 -16
2 -13 -5
40 50 -47
1 29 23
-43 -30 -32
19 23 15
-9 34 3
-50 -18 -47
-17 -19 26
16 -27 36
12 29 13
27 19 36
44 -22 -7
50 10 -37
17 -39 7
-9 4 13
-45 -38 6
-9 3 47
28 -37 -6
11 -45 21
33 43 39
2 42 47
-49 -3 -13
40 22 -8
24 17 -27
41 42 -46
8 46 38
-3 -29 14
-42 -4 -16
42 27 -14
16 -27 -47
-34 -42 31
-41 -32 31
42 5 -47
-44 20 -38
3 23 -40
-1 -20 44
26 18 -11
-25 -11 45
-28 -12 -15
-1 -29 7
9 11 -45
-25 32 -37
11 19 14
-35 27 -21
17 26 30
-1 -45 -24
-9 6 39
48 -17 6
25 -27 -46
33 -4 38
10 -36 13
34 -44 -40
46 -32 -16
-35 27 -5
-6 -7 39
33 4 38
2 -28 11
40 -34 -4
40 -18 22
-34 12 47
-25 9 10
24 -50 13
-27 -11 -7
-17 -41 -16
-2 -28 -38
49 26 -8
16 36 -40
8 23 7
48 -41 -36
-9 -18 6
26 18 -39
48 34 -47
42 -35 -24
25 -34 -5
-25 8 -26
2 38 31
-17 9 36
25 18 -29
48 -36 23
-18 42 7
24 1 -39
-10 35 7
-19 22 -23
-3 -31 -15
17 3 37
-28 -37 13
18 -13 29
34 -13 46
20 12 -8
49 -44 39
48 -17 26
49 -20 -13
-3 43 22
45 14 -48
-17 44 -47
-9 -35 39
2 27 -5
-17 32 27
24 -35 36
-50 19 -39
8 29 6
