217 3
-3 42 6
-18 25 50
-1 -42 -23
-9 25 -11
-18 35 -7
-25 12 31
-37 38 -40
25 43 14
33 -46 47
25 45 14
-34 2 -39
16 49 29
-49 40 27
-27 -20 -23
33 26 50
-25 -19 -14
-3 -19 -7
-43 -11 46
17 20 -15
-36 20 4
-42 -11 -24
18 -45 30
3 -22 30
-11 18 -35
-42 -20 -24
49 -26 -50
-28 -21 -30
-10 -6 46
-45 30 -32
-26 -42 31
40 -19 -7
18 35 47
24 17 -37
-17 41 -24
-10 -11 -30
-34 -27 36
-42 46 39
16 29 -8
-50 34 -43
-25 -45 -31
-26 -19 -13
25 -35 -29
-12 19 -14
33 12 -39
-50 -42 -11
-25 -17 -4
25 42 -28
-1 -36 -14
-3 42 -38
32 -11 27
33 -27 11
-50 -11 43
-9 -2 36
26 50 5
-42 33 22
-33 -26 39
-25 16 -41
9 -28 38
1 -2 -38
9 2 5
-26 18 14
40 41 -21
-41 -9 12
-33 48 6
24 -50 -28
32 -31 -23
-50 -11 -44
40 8 -13
24 45 -40
12 5 29
11 -37 -46
-41 8 -48
-42 4 13
-44 -21 -32
-37 30 31
42 38 -31
-36 45 15
-1 17 30
36 -22 -38
-1 -44 30
30 7 -40
40 -41 21
-29 46 -7
26 -36 15
-17 -11 -36
45 5 -7
-49 -12 30
26 -35 -36
-2 -47 -7
-12 -29 -21
24 -27 15
16 26 6
-9 48 -47
26 -46 47
1 -19 -20
34 -36 30
-47 6 -8
-17 10 -13
-3 29 15
26 28 -46
33 -36 -20
-50 -13 -47
-41 -29 -6
-18 34 39
-44 37 13
-1 -50 -31
-33 -17 -29
25 18 30
-11 -5 -32
41 17 -50
-10 34 39
-25 41 20
24 5 -48
33 25 -38
-17 25 4
-2 9 -4
22 -23 -8
21 22 -40
27 12 -5
-6 -23 -7
-28 -7 -32
26 -47 23
50 -36 -5
-49 -50 19
-17 -12 -20
25 -27 -39
-27 -47 30
40 25 -23
-26 3 22
3 31 -32
33 4 31
26 -5 13
32 49 38
-35 -43 -14
-42 12 -46
17 5 38
-42 46 31
24 -2 -29
-17 -50 4
36 -47 -48
32 18 -11
41 19 14
-18 26 4
-41 17 22
49 -29 47
-41 -45 31
-34 43 14
-12 20 -39
-42 43 14
-25 23 31
34 -4 -22
2 43 28
-9 -43 -36
11 28 -31
1 -44 -22
4 -39 14
-19 -30 -40
49 11 30
43 27 -15
-35 28 30
26 -36 27
-2 -30 5
16 -42 14
25 43 -8
-42 30 31
34 -37 7
-33 44 31
32 -13 37
34 19 -39
-49 33 15
-43 -45 30
1 -29 5
16 39 -32
8 42 46
50 20 -46
-17 -30 -31
-42 -4 20
-1 3 -14
32 -2 6
-17 23 -32
16 32 -40
-41 30 46
-4 3 5
43 -47 -32
26 -13 -46
-25 -3 -6
-26 -32 -48
-10 -14 -47
-1 -14 29
50 -28 36
40 -3 -23
16 19 -14
-42 -37 -15
-1 -18 -8
-41 -19 -44
-27 -37 -15
-3 -23 47
-10 -27 14
2 43 -38
49 33 -47
-17 -30 46
48 1 13
8 -26 39
-30 21 -16
-11 -45 -5
32 2 39
48 -4 3
18 26 3
-18 4 -32
8 40 -18
14 47 -48
42 -4 20
24 -22 -16
25 -26 -27
8 -10 -44
-10 -11 29
-34 -18 -22
