217 3
-34 -23 6
-1 27 38
-11 -12 20
1 -46 21
20 21 29
33 -43 23
-49 9 -5
25 3 20
4 -46 -32
3 -46 -32
-49 26 50
-11 -35 31
41 -18 27
-35 -28 44
2 -12 -44
-3 45 -47
-35 -27 7
-1 10 -8
-34 -22 -47
9 -4 -48
17 36 -15
-41 -23 15
32 35 -24
-26 12 20
-50 -42 26
-43 5 31
-17 33 30
1 -21 -40
-27 -43 -4
-11 26 29
-49 17 -7
-9 -42 7
-1 -9 -34
45 29 -47
29 38 23
9 2 -7
40 -35 37
38 -39 -48
18 -15 38
-25 44 14
-44 -30 6
21 -22 23
-33 -2 -24
36 12 -39
-20 30 -8
-43 -12 14
-34 -37 47
-3 -36 -14
42 -36 -32
25 18 -36
24 -49 43
-3 27 29
-2 29 31
-22 -39 47
40 9 -28
8 -9 -13
-2 35 29
-50 -27 19
9 -12 28
-4 -37 -39
4 -31 14
-49 -42 26
32 -50 -28
-2 -26 -30
49 27 -47
-35 -37 38
25 20 -7
32 -19 12
-13 -23 47
-27 29 30
-25 33 -32
32 40 33
-18 46 14
-38 -39 -48
47 7 -32
-14 46 6
25 36 38
-47 -23 30
41 50 -13
26 44 -47
-33 -36 5
-9 39 -48
33 -35 -32
27 -12 45
32 -44 36
17 13 5
40 45 -48
-34 -44 31
48 -18 15
-39 30 -24
43 -28 -5
4 13 -16
11 28 -46
33 46 23
-12 -47 -23
17 43 21
-10 22 -40
-49 -27 -19
2 -5 -29
20 44 -8
24 10 3
25 -29 -22
24 -42 -31
34 21 -24
41 22 -40
16 29 14
43 -7 39
-50 49 1
42 -14 -8
-17 18 -43
33 9 -14
-1 -11 29
-35 31 47
26 19 15
17 25 14
-19 -44 3
-37 -6 39
10 -23 -8
8 -26 -31
-43 -35 38
-49 -47 30
17 44 14
-50 -7 -48
25 50 18
-10 26 -47
-34 -35 -12
16 50 -19
24 23 -16
24 33 9
-23 6 -7
-33 29 -15
26 2 46
-33 28 -15
-18 35 44
-2 42 -20
-26 19 38
-33 -9 -14
-27 -47 23
-41 -22 -30
50 5 -47
-35 30 31
26 27 -37
-17 -49 -30
-41 -11 -14
-25 16 6
-17 8 -42
9 46 -15
-49 1 28
3 -32 7
48 9 25
-9 -26 -11
42 12 -22
-41 -36 -46
-2 -34 22
33 -27 -38
32 -27 -38
25 -43 -37
32 9 26
-20 23 -16
-41 9 -45
41 45 -8
32 -38 22
-13 28 -39
-42 -36 37
41 -26 -37
4 5 -39
-29 -30 -40
-36 45 -8
8 -25 18
-25 49 7
50 -27 36
45 39 15
33 -14 -39
-2 -43 -21
-27 -37 46
-26 29 6
41 28 -15
33 -44 -8
8 -18 -22
-36 -6 -7
50 43 -32
-43 27 30
48 33 28
41 18 -12
-46 21 22
48 -26 6
-42 -4 22
-11 -43 -38
21 -22 -24
42 6 22
-42 -44 39
26 30 38
-50 12 -37
9 -21 -15
-1 25 36
32 -26 -36
-4 -30 -16
-33 -4 44
21 -39 -32
-17 -45 -46
-17 -3 -32
17 11 31
-34 -21 -14
-10 -27 13
-35 -3 -7
-50 13 -38
-9 10 22
-25 -6 23
-10 -30 -15
8 -26 42
-41 -45 -46
-25 -35 30
8 -20 5
-2 20 -40
-2 -14 -38
-9 -19 6
-35 -4 -8
