217 3
43 12 20
-50 -12 -22
-50 -14 -22
2 -30 13
37 46 38
-11 35 7
49 -43 23
-20 6 15
-2 25 50
-17 -10 -31
-41 -21 -6
-13 20 30
-3 35 -8
-35 -40 -24
50 -21 -40
-1 3 -39
-25 -50 46
-10 -7 47
17 -18 -47
44 45 15
49 -27 -28
27 -4 -48
-34 -7 -24
-9 -2 -20
-9 -28 -44
-36 -13 30
-3 34 -31
27 -36 3
48 49 -46
11 -21 6
-33 25 -24
-25 41 30
8 30 15
19 37 46
-18 20 -38
-5 30 22
16 30 -8
-41 -25 42
27 3 22
-41 26 -8
-6 23 -40
-44 -15 47
-12 20 -8
-12 28 -22
-17 -2 34
38 -23 -48
9 -13 7
32 -10 -4
-23 -32 15
49 -14 37
8 2 -36
26 37 21
-36 -38 31
-36 -38 30
48 -44 -16
40 2 21
-12 30 -7
3 29 7
32 29 22
35 29 22
11 -40 -48
43 36 -7
17 10 -4
41 18 21
3 -5 -47
19 -14 -24
40 -49 -27
24 6 14
2 36 -16
20 -47 -39
43 -30 23
-33 -36 14
-42 45 -48
1 -13 -16
-3 45 46
1 34 4
-12 27 39
-27 10 -19
-44 -5 -16
-1 33 37
8 -13 -16
-34 19 47
41 -3 29
-50 -19 -28
-18 15 47
9 -50 4
26 -21 31
-10 46 -48
49 18 39
-10 5 -15
36 45 -8
-33 49 20
-43 20 -16
-50 -30 6
48 32 6
4 46 -16
42 -44 30
-36 -37 -32
-19 -20 7
16 17 -27
17 44 22
-18 41 -35
-1 33 -43
-20 -29 -8
-50 -43 -46
-29 28 12
25 -38 39
1 -18 44
20 -39 7
26 21 -32
-9 34 -15
-29 47 -40
-17 49 3
-10 41 -47
32 -11 43
-3 -44 6
32 34 5
-34 -32 -8
-26 9 3
-19 -13 -15
41 -43 14
-50 17 19
-44 -12 -48
-44 -4 23
-27 18 -31
-6 29 -14
-41 2 21
-49 10 -47
-44 -36 -22
-33 2 3
11 -6 21
-49 30 -48
-34 -43 -32
-18 -45 -22
2 11 22
32 11 29
-50 -43 -48
48 27 -36
11 -14 46
12 -30 31
50 35 6
40 -50 -18
24 26 -8
-3 -43 13
-1 -42 13
-25 -46 -7
2 -19 23
-33 -50 -16
3 -45 -40
32 33 4
49 2 44
-4 11 -6
3 14 22
41 -46 6
-1 21 6
22 15 23
10 34 28
9 26 38
35 -14 29
-43 -21 30
25 26 27
-2 -13 38
-29 -31 7
-43 -36 -21
-42 -35 4
1 -2 -30
18 -28 21
-50 -19 21
-9 -47 -48
28 -31 39
-13 21 -47
45 21 -38
-19 20 23
8 -25 22
-1 -44 -23
-33 48 -19
42 18 -20
33 -42 -37
-38 21 23
48 17 27
16 50 -40
-17 48 -40
-18 -30 22
-9 -5 -45
-1 -5 47
9 11 46
8 -49 -18
33 -22 -24
8 1 -5
17 4 -46
-2 35 23
-43 38 -24
18 20 -47
-20 -13 22
11 45 -16
-1 -29 -46
33 -31 14
40 -28 20
48 33 11
-25 44 -7
21 -31 -16
33 34 27
25 38 15
-42 2 -38
32 -42 -39
24 -10 -27
-3 -29 -13
-50 -6 30
-9 1 -27
-41 -20 5
-28 -37 -7
16 -43 -44
-1 26 46
-2 44 -23
-1 -23 15
-20 31 -24
-49 12 30
