217 3
-49 42 -38
-3 45 39
-18 45 -8
-2 1 -40
40 41 -43
40 -43 7
-10 -44 -8
-9 -27 29
48 29 -8
-37 -30 23
35 5 23
-25 26 12
-25 -3 -43
10 -45 -13
9 46 31
-17 36 -5
-38 30 -16
-1 -7 31
-49 -37 -14
-17 -13 -31
25 19 -37
13 46 23
24 -49 11
-26 -35 4
-18 -31 6
-25 -50 47
-33 -30 -47
34 10 38
-2 21 -8
50 2 -30
-36 -13 -40
-4 -46 -32
-2 26 -47
34 -37 -15
50 -20 39
33 -35 -11
41 -11 46
43 -36 -30
27 -16 15
-22 -14 38
-44 4 15
-36 -29 6
28 -29 22
24 -2 11
-19 -20 -48
49 -35 -29
-18 -5 37
48 33 9
-36 -14 30
-5 -14 -15
-21 -15 -32
32 -33 25
16 36 -24
34 50 -15
-30 21 23
-11 -13 39
3 22 30
-37 28 -47
30 7 39
-44 46 -15
10 20 28
24 -26 -20
50 -36 -32
-42 29 6
1 -35 -12
9 27 -20
41 -26 13
43 -44 -32
32 9 -20
17 38 -16
17 -8 31
9 43 -40
-1 44 31
-50 44 38
-2 -23 -40
25 -27 -30
16 33 41
49 42 -12
24 -6 22
-50 35 -12
43 45 -39
48 27 21
8 -13 31
-28 20 -22
-1 -3 -19
-49 -27 39
40 49 11
8 -5 37
32 -27 13
17 -11 13
35 38 -8
34 18 22
-27 -20 38
-49 24 6
40 30 22
41 -13 -8
40 -10 -14
-33 -11 19
-4 -30 -8
-33 -10 -36
38 -23 47
16 35 38
50 -46 -39
25 19 29
-12 -5 30
-25 -20 -32
2 -30 -24
10 20 -13
8 -9 2
17 37 15
-26 -39 -47
10 -29 -22
-2 -3 -28
16 -4 -12
-19 -36 39
21 -31 7
48 10 -21
40 25 -22
-25 13 -31
-9 44 -47
42 -12 -24
-26 -8 -48
-50 -11 -30
-18 17 38
-10 17 1
-42 2 6
-9 21 -39
17 -2 30
43 38 -24
-42 30 -32
16 -11 -40
25 4 13
1 -42 23
16 -44 -48
-26 2 -14
-19 -37 -45
8 28 -23
-17 -34 50
-33 -27 -29
2 -4 -5
11 -37 15
-26 2 31
33 45 39
22 -8 39
8 49 -31
-11 -28 -32
-43 -35 22
-26 -13 -31
-9 50 -46
40 -36 -5
-42 43 -46
33 26 -37
-10 3 15
10 50 2
33 -28 -39
-19 -20 -22
-9 20 -16
-29 7 -48
-49 34 37
49 44 46
25 -3 -43
28 45 -22
32 19 -40
4 -16 -8
2 31 -32
-36 -4 -5
-17 42 -20
16 -18 -12
10 30 -7
17 -45 -47
-43 12 37
-17 -2 -21
2 -3 44
-49 -6 -16
-49 -7 -16
50 -37 23
17 46 -40
-33 -18 30
17 43 44
-34 -4 44
-2 -4 -15
16 25 31
-44 13 -7
-17 -29 47
-2 11 6
-19 28 4
-27 43 -45
16 -5 31
32 10 -35
27 -4 -15
24 -22 15
-11 -27 4
-34 26 -21
-33 -2 6
-9 8 44
-10 -18 38
32 27 38
-41 -2 -44
40 6 39
19 12 22
40 -18 45
-41 -43 47
-17 26 -22
-26 -24 -8
41 15 -48
16 21 -6
33 42 27
-1 42 47
16 49 -39
-47 -31 -23
-26 -27 12
33 -27 -44
43 -7 14
27 13 -24
-34 -19 -40
17 -22 37
37 13 -24
