217 3
-43 3 -8
-44 45 38
-3 -43 -8
40 1 -30
16 20 -23
24 -3 -40
-9 -27 37
-41 11 -5
-17 -12 -31
-34 13 -47
32 49 -15
-11 6 -8
-36 37 38
-25 -42 43
-41 42 -23
24 -14 -22
-33 41 26
-19 -31 23
48 8 30
-37 28 -15
48 49 -32
-26 -42 47
-1 43 -46
48 25 -19
-20 -8 -48
9 -19 34
-42 -43 -40
20 21 -22
-21 15 -48
-20 -7 -8
11 37 46
-34 -26 18
-33 -25 39
26 -11 39
-42 30 23
42 -46 31
-42 41 -27
-28 27 -8
9 43 5
49 -34 22
28 -13 6
-5 37 22
16 41 -37
-25 -18 22
41 -26 29
-1 -17 6
26 -21 -39
33 38 -8
-11 -36 -14
-27 -38 -48
9 46 -48
-1 -9 21
-19 44 45
-13 37 7
16 17 20
-2 -37 47
-19 -37 -39
3 45 23
-41 23 39
-26 3 -30
-28 36 -23
48 -43 35
26 -20 46
17 50 35
-13 -15 39
-10 13 -14
16 -17 47
26 -48 -8
-45 44 14
-34 -13 -37
24 33 11
-10 44 -30
28 21 -15
-2 -32 -8
40 24 11
-20 -40 -48
32 45 23
-26 35 -32
-3 -30 -8
-18 -30 -24
12 -7 -31
-35 39 -16
-17 50 -16
16 -18 21
-9 33 -22
33 17 -35
-17 -35 -45
16 -42 3
48 -3 13
-41 37 47
4 14 -8
-49 -28 19
41 -29 -23
20 38 -8
-49 43 -29
45 30 31
-50 -29 -24
32 9 22
10 35 -46
-3 50 -44
1 -26 21
-26 -12 -40
11 -21 28
-17 -43 28
18 -37 -21
9 -22 31
-9 2 43
33 -50 -48
21 47 -24
-49 50 36
-1 24 -19
25 22 -40
26 -3 -36
-50 10 -31
-9 3 22
-42 17 46
21 6 -24
-49 40 -50
-3 27 -4
-26 20 -39
-35 18 15
-17 -19 39
-3 -28 -32
-1 -34 -43
-1 48 3
27 28 -45
-36 -4 -44
10 42 45
42 50 10
34 6 47
-41 19 -46
33 -27 -47
34 44 14
25 -35 14
-11 43 -47
19 28 46
-41 -28 -30
-18 19 45
-4 28 15
-29 20 14
-19 -45 -22
-4 36 15
-3 -5 21
17 -28 -31
32 17 5
-9 -29 -40
25 17 34
40 -11 34
-50 -18 38
-17 -10 2
41 50 -37
-19 4 -14
8 -37 45
32 -30 29
-2 -13 -48
-19 2 28
49 -21 47
24 -2 -42
9 -3 -22
18 -40 31
5 -7 -16
-11 -38 30
-27 19 47
25 1 -20
42 36 30
50 -27 -14
-23 6 -24
25 -34 -3
20 21 -39
-27 11 -46
-25 -21 -24
42 5 -46
1 11 21
48 -10 21
8 25 39
24 -35 -22
-18 2 -30
1 -6 -16
-35 20 -22
-7 46 -24
18 -20 37
49 2 13
48 1 11
-27 26 21
32 3 43
26 13 -31
4 36 -46
2 28 14
8 17 7
-34 28 46
-49 -18 12
13 -31 39
-28 -46 -47
50 -47 -32
-37 13 6
-1 42 -48
-1 9 18
49 -10 -36
2 -28 -12
-50 44 45
9 29 39
-18 28 -40
-17 -22 38
46 -15 30
-2 37 -40
-4 43 36
-19 22 47
-33 -20 5
16 10 7
-17 43 45
9 14 23
26 18 11
-1 -15 6
29 -8 31
9 -3 -16
-33 32 -5
4 20 -45
