217 3
18 14 -40
-3 27 -40
-41 -22 39
48 -11 23
1 45 -30
-33 -1 -47
-33 28 -22
-50 19 -40
-36 4 47
48 5 23
17 -12 -29
1 -14 47
8 40 -34
24 -3 31
2 13 -6
-18 50 -7
-10 -13 -45
-17 -11 -24
17 20 -15
-35 -27 19
8 -18 -47
-25 -3 13
42 19 -30
-18 -5 7
50 -20 -31
-33 -22 -15
34 -29 5
-26 -35 -24
44 28 38
-28 -23 -24
-25 44 13
40 37 47
-34 -30 -47
24 -3 -39
-35 -4 -47
17 -36 -39
41 -45 -16
41 4 23
18 2 -23
20 46 39
8 34 15
-5 4 -40
-50 25 7
-26 -34 2
43 -23 -40
48 33 25
-27 -6 31
-28 -30 15
9 18 23
27 11 22
-9 -36 -30
35 36 -15
-1 -25 12
-9 -41 43
2 -12 -7
-41 -9 33
-11 27 38
-15 14 -24
-10 -42 -7
8 17 19
-21 7 39
1 -2 -46
-25 -4 -16
-50 -11 -43
32 -15 -24
1 10 -36
41 27 -47
10 21 46
18 -36 -16
-13 -23 47
48 20 -23
19 45 23
49 -27 45
-37 -47 -32
-29 -13 -23
-19 -4 28
-22 -23 -48
-44 12 -16
-49 6 38
18 -35 36
-19 50 12
-20 19 11
36 14 30
11 -29 -7
-42 -28 -7
24 -14 -16
24 3 44
-11 -44 -32
9 -13 14
-33 6 14
24 -19 -37
48 -1 -44
-1 16 50
35 -31 -24
16 11 4
-17 13 -15
-49 -43 -6
10 -21 -46
-49 -43 -13
-41 -27 -12
8 10 -6
-26 7 -16
20 -30 -8
48 -11 -32
11 12 -38
-45 29 37
-50 -14 30
-31 39 47
48 -31 6
8 36 -14
32 -19 -36
44 -15 6
-17 26 -35
-25 -46 -38
-49 4 13
-9 -22 -30
-27 -5 -16
-2 42 -35
-10 9 2
-25 -33 -29
11 -20 -29
-10 18 30
10 -38 -24
-33 43 -15
36 4 -48
-49 -46 -15
-42 2 -16
-5 -46 -24
-43 26 -19
48 43 -6
-34 -35 -30
-33 -42 9
25 1 27
-10 -12 -40
24 16 -50
-1 -2 -43
-9 26 -46
-41 45 -16
48 44 46
17 34 -3
16 50 13
12 -22 23
-45 44 -8
25 -37 30
33 -44 -6
16 2 12
3 21 14
-35 28 46
34 5 47
27 38 -23
-28 37 -16
26 4 -47
24 1 -28
-18 19 5
-26 21 45
-49 -34 50
-2 34 -5
-42 -26 -46
-34 30 31
-41 43 15
-1 -34 -19
26 35 -24
10 -36 -7
19 -30 -39
42 18 -28
-43 -45 38
41 -42 -4
-27 -13 46
-17 -49 -33
-18 -27 -46
-25 -21 -23
26 19 -47
24 -6 -16
-33 -48 31
-41 49 -3
-2 -19 -23
-41 -3 43
-2 37 6
42 2 14
-21 -30 -39
49 22 38
-1 32 -30
-19 5 30
50 -36 23
3 -46 39
-26 -32 -48
48 44 -24
-34 27 45
41 43 15
-26 -36 23
-33 -12 -40
-28 20 37
38 6 23
25 41 7
-42 12 -38
42 -28 -13
19 44 4
12 -30 -16
41 -35 47
-12 4 15
16 34 -14
-26 -36 5
-33 -47 38
49 -50 -23
8 -43 -24
42 47 7
-14 -47 -15
-21 -13 -7
-41 -4 20
-29 -37 23
-17 -5 -23
-46 -30 -7
-9 -34 -48
16 -6 47
2 43 -13
16 35 -47
26 -3 23
