217 3
-18 38 -23
32 -45 -13
-18 43 -23
10 -28 6
1 -19 -32
-49 -34 -36
-1 11 29
48 -10 -43
43 3 -21
-28 -36 21
-50 -7 23
-34 17 -39
16 -34 -39
17 10 36
25 -38 -16
40 14 -24
-41 34 -6
1 3 -38
-36 -28 -6
-21 12 5
28 15 31
-11 -3 -21
42 -19 -47
11 20 31
42 -44 20
-9 -34 30
16 -12 7
44 28 15
-9 29 37
-36 -12 -7
-4 13 -48
41 34 26
1 17 21
4 45 6
8 35 31
18 19 20
48 -38 31
-41 -19 -39
-36 19 30
-17 -37 -48
24 41 -20
-5 44 38
16 44 -24
-10 42 -5
-50 42 6
-2 12 29
-11 -36 -39
-49 10 -24
10 36 45
48 -36 -32
-25 -33 20
42 -13 39
16 33 -45
-35 -12 -6
-49 8 28
-10 -37 -16
50 -12 -30
9 -2 -46
1 19 23
-34 -27 2
42 -13 23
-49 -42 34
3 27 23
24 -43 -13
-5 38 23
18 3 7
-42 -12 36
9 -21 -8
-20 29 -46
41 -37 -46
17 -43 -14
40 42 11
25 28 -21
3 11 -24
8 -13 38
-19 -4 36
28 29 21
17 36 46
44 -7 -47
2 -8 -40
26 50 38
-20 -5 22
44 -46 47
-41 49 -12
-49 -10 -5
-3 -21 -6
-17 1 35
-17 18 21
4 7 -16
17 1 -35
27 -12 -5
-18 -7 -16
-27 47 -32
-20 35 -45
24 37 -22
41 -19 -3
32 18 23
-2 -36 38
50 38 -15
10 50 -38
-35 -27 -31
-12 14 -24
-9 5 -48
16 -18 -36
-50 33 19
-9 45 -31
32 -2 44
41 -11 -32
40 -49 4
25 -20 -28
24 33 10
49 -46 -40
-50 11 -14
10 6 -32
-25 9 -13
-26 41 17
-33 34 3
-49 16 -29
32 -3 -28
25 2 30
-2 -3 44
-42 30 -32
-4 -29 15
-34 -6 -15
10 37 -30
-26 18 42
-49 37 -47
-39 7 15
-25 42 -38
34 -45 -6
-27 -14 -15
49 -47 39
-43 22 -47
3 -28 -48
50 -13 -48
-10 19 -47
32 13 38
50 -45 -40
-1 49 20
33 -18 -20
18 44 6
12 -30 15
33 -45 -40
41 -20 15
-5 28 13
-21 -46 -24
17 -21 14
40 -24 47
2 -4 -22
-4 35 15
-4 -6 -15
-3 -5 21
2 -27 19
-11 -47 14
41 -3 -21
-45 30 -24
9 -37 23
41 26 -23
25 41 9
-19 -21 28
-17 -35 -43
26 44 -15
42 -21 14
10 -30 -48
-13 14 39
12 -6 30
-49 33 39
18 27 5
34 12 -6
34 -14 29
41 22 7
-33 48 -18
-35 -21 13
-17 -49 29
17 -4 28
43 11 -23
3 31 39
1 -4 22
-37 38 23
28 44 -23
19 -38 5
26 44 -24
26 -36 -8
9 -4 -7
44 38 6
-1 -3 -15
-50 -36 -5
-12 19 20
33 1 12
17 -13 29
-25 9 34
-50 -20 -8
-34 27 -40
-1 41 25
35 28 -24
17 -28 4
-1 -14 31
-26 -36 23
33 -19 22
41 -29 -15
-28 -45 23
-12 3 43
48 -50 27
-19 35 -23
43 28 -16
34 19 -46
-36 38 6
8 11 46
-19 -24 -16
-41 26 -37
-10 -27 30
35 12 -8
-50 28 -39
-27 38 23
13 38 47
-17 30 -39
-34 -22 -14
