217 3
-45 -13 30
27 19 -5
-35 7 39
35 -5 44
-18 -5 -48
-50 -38 -24
-47 -24 -32
-10 -43 -44
25 3 -37
-10 -28 3
48 19 -45
-11 -12 20
19 -5 46
9 -13 -45
24 -43 7
-42 19 -24
24 -19 44
-29 36 4
-9 -1 -43
48 -20 22
-36 4 31
-17 -15 -24
-42 6 -24
50 27 23
-25 10 -3
9 -18 -47
33 -15 38
-1 43 -38
-2 34 -8
-44 -29 14
35 45 -6
32 25 -3
-18 44 -38
32 25 49
36 45 38
19 4 7
-9 -34 5
-35 -11 -47
16 -10 12
2 14 -15
48 -2 -46
-26 -20 3
24 2 20
-1 26 14
-9 2 -29
-33 -25 20
18 -44 39
36 -21 23
41 -11 27
1 19 22
41 -28 -24
-9 -33 19
49 -35 19
-1 23 15
28 -32 -24
-5 21 -47
-41 26 7
-10 -22 5
25 -19 12
17 35 46
-3 11 45
-11 26 12
9 -13 -8
-50 1 -44
6 46 47
34 4 -15
10 4 22
-9 -49 -8
19 30 -24
-2 -20 -38
1 -13 -7
-11 35 29
-20 44 -6
17 3 -16
-34 -21 -45
-5 -48 -8
5 13 22
-1 -21 -38
-33 49 -29
-33 -35 47
-18 -27 3
-35 -44 47
-34 -44 15
-35 -11 -15
-9 34 43
-9 2 12
42 13 5
16 -18 36
-1 2 -44
-34 36 -15
34 22 -32
24 -37 -21
-21 -37 23
-26 11 -15
-28 -20 43
-12 44 29
-17 -14 39
26 19 43
-46 -40 31
-17 -35 11
-2 -11 50
32 1 23
49 36 44
33 9 -14
6 14 -24
-9 -15 23
-17 3 38
49 35 7
16 -46 -7
34 21 -40
-19 -28 39
-1 4 5
-17 -27 47
-17 32 -34
24 -36 -21
-41 35 -15
-3 -46 -24
-12 37 31
9 -27 -15
8 -19 -29
33 12 14
41 19 28
-19 4 -15
35 -21 13
1 -45 -48
48 2 43
-35 42 13
-26 4 6
-3 35 -29
-42 -46 23
41 -43 -20
-49 15 -48
-41 39 -16
26 -23 39
42 21 -47
19 23 -32
16 -38 7
16 -4 -22
-34 43 14
49 10 -44
49 -19 -29
-27 34 -38
43 -5 -6
-27 -22 -47
16 -12 -39
49 26 -36
-41 -5 -32
49 -26 4
27 29 -15
34 -44 -23
-36 -6 7
-36 21 -23
-9 26 23
-50 -35 21
-25 -10 45
-30 -15 -48
-12 -39 -8
-41 50 15
20 14 47
-3 28 -22
9 -43 -21
35 -30 -47
-4 -23 7
-2 5 30
2 -28 22
26 27 -8
-37 20 7
17 27 36
40 28 -15
42 -39 -31
24 -42 -20
-43 -30 -46
40 -1 -5
1 11 47
2 36 -39
1 43 28
-33 31 -48
32 -27 -12
-33 26 14
-2 36 6
-35 34 26
1 -21 22
40 36 29
42 -35 45
-9 4 -7
1 33 29
32 37 -48
-1 28 -14
24 50 26
-2 26 7
-33 13 30
-42 20 -5
-33 49 -39
-35 -12 -23
-10 -19 3
25 42 -43
48 46 -7
8 -39 -32
-25 -44 -14
-25 -6 22
-42 -37 -31
16 44 -22
21 13 46
17 -12 -20
-26 -2 -7
-25 -27 -19
16 8 12
-12 -45 21
-1 -30 -15
42 -3 22
-46 30 -31
1 35 14
-2 25 -48
-15 -39 -32
40 -12 4
-9 33 -6
3 -29 30
